sample,m0_ex0,m0_ex1,m0_ex2,m0_ex3,m0_ex4,m0_ex5,m0_ex6,m0_ex7,m1_ex0,m1_ex1,m1_ex2,m1_ex3,m1_ex4,m1_ex5,m1_ex6,m1_ex7
0,512,512,-1536,2048,2304,-3072,768,-2560,-3328,-2560,2048,0,3328,256,-1024,-1024
1,2304,1280,3584,0,256,1536,512,3328,1792,4864,3584,256,-512,3840,2816,2816
2,1280,2560,-256,2560,3072,2816,3840,-512,2048,768,-2560,4352,2304,-1536,4096,1792
3,2304,2816,2560,7936,2560,512,-1024,6144,-256,4352,12288,5120,5888,4352,-512,4352
4,15872,13824,8960,5888,11520,10752,14336,8448,11008,13824,3328,11520,10752,10240,17920,12800
5,-14592,-20480,-512,-18432,-12544,4864,-256,-17920,5632,-18688,-19712,-18688,-17408,-3072,-15360,-18176
6,-6144,-256,-16128,1536,-7168,-19968,-17408,-1280,-20224,-2304,2816,1024,-1536,-13568,-6400,-512
7,7680,7168,3328,9216,4608,3584,6912,9728,6144,6144,4864,4352,4352,3840,8192,6144
8,512,512,6912,-5120,5632,4608,1792,-2304,4096,3328,-2816,3072,1024,7168,2048,2048
9,-9216,-11520,-7424,-10240,-15360,-4096,-1024,-12032,-2304,-15360,-13056,-11264,-11520,-7680,-9216,-8192
10,-10240,-6912,-8704,-4864,-5632,-11264,-15616,-4864,-11776,-5888,-4352,-9472,-7168,-8960,-10240,-11520
11,256,5888,-5632,4096,1024,-4352,-1792,2048,-2816,3328,2048,4864,0,-3328,768,6144
12,9472,5632,6656,7424,7680,4352,7680,8960,2304,6656,12800,5632,11264,7936,8704,8192
13,-2560,-1280,6912,-6912,1024,8960,2560,-6400,7936,-1280,-8704,-1792,-5120,5632,-512,-3840
14,-7168,-4864,-7936,-256,-8704,-6656,-4608,-2304,-6656,-7168,-1792,-6656,-3584,-9216,-7424,-4096
15,13056,14080,3072,11264,12544,768,4096,10240,-1792,14080,16896,14080,14080,3072,11520,11008
16,2816,768,11776,-1024,3584,13824,10752,2304,16896,512,-5888,-512,512,13056,5632,4096
17,-4096,-3328,-4096,-4096,-4096,-2816,-3072,-6400,-8192,-2304,-256,-3072,-2816,-7424,-4352,-5120
18,-1792,-5376,-256,-4096,-3840,-3840,-1280,-2304,1792,-4608,-6400,-1792,-3584,-512,-1536,-3072
19,-5120,-1792,-7680,-1280,-6144,-768,-5888,-4352,-5888,-3072,-768,-5376,-4096,-6144,-4352,-3584
20,2560,3584,256,5632,7168,-4352,1536,3328,-1280,5120,3584,6400,7168,1792,5120,4608
21,5888,0,7936,-1024,-2816,9216,6400,2816,7424,2048,-1280,256,-512,3584,2304,0
22,-7424,-768,-7680,-3072,-256,-4608,-6400,-4608,-3328,-4352,-3840,-4096,-6912,-768,-3840,-1024
23,-2560,-7936,1536,-4608,-4864,-3072,-768,-4096,-2304,-3072,-3072,-3584,768,-2816,-2304,-5120
24,-3584,2048,-6400,-512,-4864,-2048,-3840,-256,-3328,-1536,-3840,-1792,-6912,-5888,-2560,-1024
25,-3584,-4608,-2560,-4608,512,-4352,-3328,-5376,-1792,-7680,-4864,-3584,-1280,1280,-6400,-3584
26,-512,768,-1024,768,-2816,-3072,-3072,3840,-3840,4608,4608,-3072,-768,-4608,1792,1024
