proj,label
-30.038771,1
-118.56312,1
-78.006859,0
-93.640289,1
-31.549988,0
-105.69916,1
-28.822021,1
-32.135082,0
-73.556297,1
-84.956177,0
-29.900114,0
-75.598236,1
-29.45499,0
-116.22626,0
-99.844009,1
-106.53531,1
-28.886232,0
-17.981159,0
-104.97597,0
-91.134171,1
-22.540209,0
-32.023193,0
-22.509857,0
-89.387589,0
-31.479012,0
-98.578568,0
-101.66824,1
-29.328058,1
-119.51329,1
-107.20525,1
-22.221684,0
-110.90598,1
-24.496288,0
-83.290489,1
-102.92005,0
-96.119911,0
-87.168884,1
-91.508064,0
-30.92881,0
-23.751854,0
-27.772137,0
-77.306786,1
-25.250889,0
-24.532909,0
-23.837238,0
-81.613846,1
-98.557755,0
-97.960304,1
-107.62131,1
-89.471741,1
-29.650646,0
-28.618402,0
-22.239021,1
-104.18079,1
-97.695923,1
-91.372658,1
-114.66018,1
-24.53986,1
-31.235447,0
-104.41127,1
-90.441513,1
-118.4816,1
-116.24875,1
-88.348404,1
-99.529823,1
-66.051964,1
-107.55854,1
-28.236286,0
-86.51741,1
-111.23149,1
-27.700621,0
-20.915642,1
-16.675144,0
-23.907906,0
-83.643524,1
-102.32748,0
-25.524134,0
-22.331371,0
-27.958706,0
-87.735901,1
-112.09268,1
-85.204987,1
-87.371056,0
-28.891043,0
-25.695465,0
-18.107208,0
-26.638716,0
-97.103737,0
-103.10619,1
-19.69165,0
-31.230371,0
-26.351072,0
-24.322144,0
-29.216881,0
-21.296076,0
-95.465698,1
-106.7192,1
-28.868906,0
-23.868708,0
-104.61153,0
-21.668745,0
-32.895603,0
-25.223307,0
-27.29187,0
-99.474724,1
-86.675087,1
-86.935539,1
-31.711754,1
-27.386456,0
-90.681198,1
-118.18192,1
-24.507643,1
-27.305655,1
-86.434074,0
-82.88961,1
-98.568176,0
-125.67236,1
-32.11742,0
-98.432556,1
-20.184307,1
-28.744287,0
-22.50779,0
-26.632059,1
-26.832546,0
-28.139778,1
-28.96381,0
-21.228506,1
-28.759529,0
-30.184416,0
-30.204483,1
-79.909561,0
-72.178841,1
-105.51545,1
-25.513536,0
-23.918552,1
-28.164415,0
-29.408331,0
-89.929192,1
-31.559931,0
-105.34189,1
-23.776251,0
-85.275276,0
-83.689972,1
-103.66106,1
-32.400215,0
-94.289337,0
-103.37284,1
-95.928886,1
-28.037521,0
-28.306755,0
-22.468582,0
-26.356861,0
-27.635908,1
-87.556206,1
-28.198395,0
-78.261215,1
-119.99552,1
-33.073021,0
-29.042431,1
-101.68585,0
-101.72382,0
-19.329901,0
-32.925243,1
-110.86298,1
-101.28789,0
-108.82129,1
-107.00784,1
-27.242683,0
-87.157219,1
-95.632355,1
-27.020693,0
-28.093512,0
-108.87733,1
-78.306839,1
-96.026985,1
-25.498264,1
-97.839928,0
-92.655128,1
-25.9618,0
-89.05574,1
-102.72787,1
-112.46194,0
-89.161469,1
-24.839415,0
-97.65065,0
-68.498627,1
-76.508026,0
-81.369453,1
-26.042667,0
-108.45023,1
-21.318129,0
-62.535393,1
-25.827194,0
-81.291344,1
-28.491333,0
-107.43977,1
-70.951431,1
-25.766684,0
-97.887894,0
-17.282541,0
-28.941504,0
-91.794586,0
-87.464127,1
-98.088531,0
-29.630535,1
-94.868546,1
-110.5089,0
-105.14259,1
-98.207588,0
-90.23996,1
-94.612511,1
-67.327148,0
-96.724701,0
-110.70125,0
-25.550375,0
-27.184469,0
-54.364174,1
-77.278305,1
-22.022417,0
-98.594353,1
-28.949636,0
-28.888563,0
-89.252258,0
-95.092163,1
-74.858711,1
-92.069107,0
-56.535141,1
-91.181427,0
-93.593048,1
-95.459053,1
-27.26424,0
-90.682411,1
-26.88117,1
-31.585617,0
-87.132347,1
-75.490311,1
-23.209713,0
-21.101128,0
-28.895603,0
-112.03067,0
-29.044575,0
-30.116009,1
-26.575764,0
-27.767458,1
-102.00346,0
-77.737297,1
-96.388191,0
-78.812416,1
-110.53992,1
-91.315994,1
-82.809708,0
-27.082743,0
-26.914091,0
-74.563477,0
-27.52685,0
-28.912609,0
-20.939222,0
-22.672958,1
-88.916519,1
-55.70208,1
-28.029333,0
-87.591148,1
-106.02228,1
-93.987625,0
-24.403172,0
-103.96938,1
-91.502396,1
-87.041054,1
-114.13644,1
-109.16368,0
-23.129793,0
-48.223282,0
-21.828669,0
-91.974792,1
-26.288857,0
-22.411633,0
-83.821327,1
-88.377373,0
-25.047617,0
-21.081621,0
-26.295925,1
-99.67569,1
-34.326214,0
-29.101402,1
-23.868397,1
-92.754585,1
-76.185127,1
-30.265085,1
-111.52864,1
-83.227585,0
-108.46669,0
-93.510391,1
-29.547564,0
-86.192101,1
-107.81411,1
-27.296597,0
-111.34736,1
-108.79152,1
-27.626022,0
-33.63726,0
-30.9293,0
-100.29669,1
-96.338417,0
-20.465334,0
-24.447235,0
-32.317387,0
-87.950195,1
-19.615765,1
-82.294525,1
-28.348753,0
-27.925819,0
-98.554703,1
-29.410252,0
-25.467476,0
-93.689217,1
-117.2291,1
-113.35866,1
-25.527626,0
-28.155893,0
-90.73278,1
-86.801208,1
-62.510445,1
-70.443291,1
-104.16238,0
-103.01823,0
-31.327791,1
-80.258835,1
-104.098,1
-92.937233,1
-92.78569,0
-82.363663,1
-100.63811,0
-93.991615,0
-31.256443,0
-92.097763,1
-111.99213,1
-121.68018,1
-113.57529,1
-29.98053,0
-65.658493,0
-27.039537,1
-110.17812,1
-24.476133,0
-89.380196,1
-32.438412,0
-21.149231,0
-69.173363,1
-102.8839,1
-20.254105,1
-77.915321,1
-90.616066,0
-20.869785,1
-110.93237,1
-59.376282,1
-24.725264,0
-91.361214,1
-20.009706,0
-19.539564,1
-20.238588,1
-22.230907,1
-29.654711,0
-86.109322,0
-30.170811,0
-93.4067,1
-30.999712,0
-95.446053,1
-26.714003,1
-86.454384,1
-23.080582,0
-27.0191,1
-25.662941,1
-76.090698,1
-93.246735,0
-90.735397,0
-29.183426,0
-92.894966,1
-31.437469,0
-29.410732,1
-23.353909,0
-24.791922,0
-120.49896,0
-28.303322,0
-109.43074,1
-23.347706,0
-30.927078,0
-97.216492,1
-121.13263,0
-94.026299,1
-35.569744,0
-27.635162,1
-25.361206,0
-78.948074,1
-97.98658,1
-30.566538,1
-27.424768,0
-111.16302,1
-28.518875,1
-21.401901,0
-26.942974,0
-87.651894,0
