sample,mean_m0,mean_m1,diff,welch_t
0.000000000000000000e+00,2.895434083601286375e+02,3.846114649681528590e+02,-9.506805660802422153e+01,-1.199974669047692455e+00
1.000000000000000000e+00,1.160643086816720370e+03,1.096356687898089149e+03,6.428639891863122102e+01,8.757138726395424788e-01
2.000000000000000000e+00,2.069401929260450288e+03,2.201885350318471410e+03,-1.324834210580211220e+02,-1.763153675052912206e+00
3.000000000000000000e+00,3.197736334405144589e+03,3.161273885350318324e+03,3.646244905482626564e+01,2.961453527977708777e-01
4.000000000000000000e+00,1.171940836012861655e+04,1.176499363057324808e+04,-4.558527044463153288e+01,-3.816591052067602741e-01
5.000000000000000000e+00,-1.000272668810289360e+04,-1.031969426751592437e+04,3.169675794130307622e+02,1.015351811605708532e+00
6.000000000000000000e+00,-8.178829581993569263e+03,-7.942522292993630799e+03,-2.363072889999384643e+02,-8.735345547117231435e-01
7.000000000000000000e+00,5.626237942122186723e+03,5.702522292993630799e+03,-7.628435087144407589e+01,-8.850706976041312624e-01
8.000000000000000000e+00,3.374919614147910124e+03,3.367745222929936517e+03,7.174391217973607127e+00,6.208449003878362821e-02
9.000000000000000000e+00,-8.990250803858520158e+03,-9.381095541401273294e+03,3.908447375427531369e+02,2.514253392787650920e+00
1.000000000000000000e+01,-8.733016077170417702e+03,-8.450242038216560104e+03,-2.827740389538575982e+02,-2.296401672718795250e+00
1.100000000000000000e+01,-7.361028938906752046e+02,-5.994394904458598603e+02,-1.366634034448153443e+02,-1.067631621860525515e+00
1.200000000000000000e+01,7.888051446945337375e+03,7.899923566878980637e+03,-1.187211993364326190e+01,-1.237600414434072010e-01
1.300000000000000000e+01,1.274649517684887542e+03,1.188484076433121118e+03,8.616544125176642410e+01,4.464290913403319849e-01
1.400000000000000000e+01,-6.446508038585208851e+03,-6.603821656050955426e+03,1.573136174657465745e+02,1.324800067875795850e+00
1.500000000000000000e+01,9.017414790996785086e+03,9.416764331210191813e+03,-3.993495402134067263e+02,-2.026837178385582749e+00
1.600000000000000000e+01,5.623974276527331313e+03,5.371719745222930214e+03,2.522545313044010982e+02,1.129363724095814536e+00
1.700000000000000000e+01,-3.593260450160771597e+03,-3.625171974522293112e+03,3.191152436152151495e+01,3.761838574001806768e-01
1.800000000000000000e+01,-2.884115755627009548e+03,-3.022063694267515984e+03,1.379479386405064361e+02,1.397559071141332154e+00
1.900000000000000000e+01,-5.144282958199356472e+03,-5.037859872611465107e+03,-1.064230855878913644e+02,-9.925330383552468660e-01
2.000000000000000000e+01,4.532064308681671719e+03,4.651821656050955426e+03,-1.197573473692837069e+02,-1.047171475013880526e+00
2.100000000000000000e+01,2.514932475884244468e+03,2.392662420382165692e+03,1.222700555020787760e+02,9.517215429847077912e-01
2.200000000000000000e+01,-4.146212218649518036e+03,-4.230929936305732554e+03,8.471771765621451777e+01,1.047425420782816419e+00
2.300000000000000000e+01,-3.627215434083601394e+03,-3.507566878980891943e+03,-1.196485551027094516e+02,-1.573408738285166031e+00
2.400000000000000000e+01,-1.963832797427652622e+03,-2.082445859872611436e+03,1.186130624449588140e+02,1.412627829166453131e+00
2.500000000000000000e+01,-2.081954983922829797e+03,-1.984407643312101982e+03,-9.754734061072781515e+01,-1.126221747297217801e+00
2.600000000000000000e+01,-1.964450160771704077e+03,-1.959949044585987167e+03,-4.501116185716909968e+00,-4.284562330175185896e-02
2.700000000000000000e+01,4.448720257234726887e+03,4.608407643312101754e+03,-1.596873860773748675e+02,-1.889564313640866411e+00
2.800000000000000000e+01,1.150559485530546681e+03,9.526624203821655783e+02,1.978970651483811025e+02,1.923614780520651379e+00
2.900000000000000000e+01,-2.144102893890675205e+03,-2.196993630573248538e+03,5.289073668257333338e+01,6.971486778521970296e-01
3.000000000000000000e+01,-1.273826366559485592e+02,2.649681528662420504e+01,-1.538794519425727572e+02,-1.818070890602526690e+00
3.100000000000000000e+01,2.872797427652732949e+03,2.848815286624203964e+03,2.398214102852898577e+01,3.041597873622947090e-01
3.200000000000000000e+01,3.972938906752411640e+03,3.978802547770700585e+03,-5.863641018288944906e+00,-7.693579249650270291e-02
3.300000000000000000e+01,2.273954983922829456e+02,1.251464968152866248e+02,1.022490015769963208e+02,1.101539875779349753e+00
3.400000000000000000e+01,-3.122623794212218854e+03,-3.180229299363057180e+03,5.760550515083832579e+01,7.517862833124124844e-01
3.500000000000000000e+01,-3.430482315112540164e+03,-3.304152866242038272e+03,-1.263294488705018921e+02,-1.614423928238161166e+00
3.600000000000000000e+01,-1.548347266881028872e+03,-1.664611464968152859e+03,1.162641980871239866e+02,1.552995064598980290e+00
3.700000000000000000e+01,-1.366225080385852152e+03,-1.300789808917197433e+03,-6.543527146865471877e+01,-8.655560337081139588e-01
3.800000000000000000e+01,1.324655948553054714e+03,1.469146496815286582e+03,-1.444905482622318686e+02,-1.843190894732429364e+00
3.900000000000000000e+01,-6.447331189710611170e+02,-9.102675159235668616e+02,2.655343969525057446e+02,2.734747170872000588e+00
4.000000000000000000e+01,-3.725170418006430737e+03,-3.575643312101910851e+03,-1.495271059045198854e+02,-1.936727780406477750e+00
4.100000000000000000e+01,-3.850289389067523871e+02,-3.059363057324840725e+02,-7.909263317426831463e+01,-9.862846510632724550e-01
4.200000000000000000e+01,-3.265852090032154251e+02,-3.707515923566879223e+02,4.416638335347249722e+01,5.812369709622250413e-01
4.300000000000000000e+01,-6.175691318327974386e+02,-6.740382165605095679e+02,5.646908472771212928e+01,7.520406881547508915e-01
4.400000000000000000e+01,1.973504823151125436e+02,2.892229299363057180e+02,-9.187244762119317443e+01,-1.237567392886122830e+00
4.500000000000000000e+01,6.220964630225080327e+02,5.409426751592357050e+02,8.115378786327232774e+01,1.119794636124721299e+00
4.600000000000000000e+01,-4.074598070739549627e+01,2.792356687898089262e+01,-6.866954758637638179e+01,-9.237003650565464019e-01
4.700000000000000000e+01,3.807073954983922590e+02,3.695286624203821475e+02,1.117873307801011151e+01,1.421209924673978720e-01
4.800000000000000000e+01,2.620501607717041679e+03,2.596687898089171995e+03,2.381370962786968448e+01,3.169021727686837653e-01
4.900000000000000000e+01,1.649594855305466126e+03,1.679286624203821702e+03,-2.969176889835557631e+01,-3.814556707106027122e-01
5.000000000000000000e+01,-9.281028938906752046e+01,-7.011464968152866106e+01,-2.269563970753885940e+01,-2.997771410670836412e-01
5.100000000000000000e+01,-1.156938906752411640e+03,-1.263082802547770598e+03,1.061438957953589579e+02,1.417214563752264844e+00
5.200000000000000000e+01,-1.929672025723472643e+03,-1.759388535031847141e+03,-1.702834906916255022e+02,-2.322493733640591085e+00
5.300000000000000000e+01,-1.791382636655948545e+03,-1.941808917197452274e+03,1.504262805415037292e+02,2.060645152976340988e+00
5.400000000000000000e+01,-1.279382636655948545e+03,-1.291414012738853444e+03,1.203137608290489879e+01,1.599437067661637346e-01
5.500000000000000000e+01,-2.769903536977491854e+02,-1.359490445859872523e+02,-1.410413091117619331e+02,-1.859295681386377463e+00
5.600000000000000000e+01,-4.636398713826366702e+02,-5.517452229299362898e+02,8.810535154729961960e+01,1.163497144565464714e+00
5.700000000000000000e+01,-1.344617363344051455e+03,-1.366216560509554029e+03,2.159919716550257363e+01,2.887862345486343907e-01
5.800000000000000000e+01,-4.731061093247588474e+02,-3.974522292993630685e+02,-7.565388002539577883e+01,-9.956049900660932650e-01
5.900000000000000000e+01,5.309324758842443543e+02,4.622675159235668616e+02,6.866495996067749275e+01,9.420151413258868178e-01
6.000000000000000000e+01,4.792797427652732836e+02,5.115923566878980751e+02,-3.231261392262479148e+01,-4.213768941660735456e-01
6.100000000000000000e+01,-1.066392282958199303e+03,-1.057426751592356595e+03,-8.965531365842707601e+00,-1.149484999432731497e-01
6.200000000000000000e+01,1.246456591639871476e+03,1.164433121019108285e+03,8.202347062076319162e+01,1.062476185329582767e+00
6.300000000000000000e+01,-2.510610932475884169e+02,-2.062675159235668900e+02,-4.479357732402152692e+01,-6.006455481305319477e-01
6.400000000000000000e+01,4.338006430868167058e+02,3.599490445859872807e+02,7.385159850082942512e+01,9.752300763482033563e-01
6.500000000000000000e+01,-1.541350482315112629e+02,-1.039490445859872665e+02,-5.018600364552399640e+01,-6.329668691166854266e-01
6.600000000000000000e+01,2.258520900321543195e+03,2.325401273885350292e+03,-6.688037356380709753e+01,-8.847949510915900095e-01
6.700000000000000000e+01,2.678945337620578812e+03,2.682089171974522287e+03,-3.143834353943475435e+00,-4.201965063038242548e-02
6.800000000000000000e+01,7.299292604501607684e+02,6.232866242038217024e+02,1.066426362463390660e+02,1.353604742709959341e+00
6.900000000000000000e+01,-1.220527331189710594e+03,-1.168917197452229402e+03,-5.161013373748119193e+01,-6.888104821499764219e-01
7.000000000000000000e+01,-1.666675241157556229e+03,-1.711286624203821702e+03,4.461138304626547324e+01,5.969682387634793752e-01
7.100000000000000000e+01,-9.435369774919614656e+02,-8.548280254777070013e+02,-8.870895201425446430e+01,-1.192870962999210249e+00
7.200000000000000000e+01,5.165273311897106367e+01,-4.178343949044585770e+01,9.343617260941692848e+01,1.229690287342631860e+00
7.300000000000000000e+01,-8.066881028938907150e+01,-6.114649681528662484e+01,-1.952231347410244666e+01,-2.603718656435053957e-01
7.400000000000000000e+01,-3.899678456591639701e+02,-4.054012738853502924e+02,1.543342822618632226e+01,2.106076329563819627e-01
7.500000000000000000e+01,-1.068038585209003202e+02,-8.356687898089171540e+01,-2.323697954000860477e+01,-3.153727631372365559e-01
7.600000000000000000e+01,3.469581993569131555e+02,3.758471337579617852e+02,-2.888893440104862975e+01,-3.801347601971843959e-01
7.700000000000000000e+01,7.404244372990353895e+02,7.859363057324841293e+02,-4.551186843344873978e+01,-6.028595668075372727e-01
7.800000000000000000e+01,7.509196141479100106e+02,6.220636942675158707e+02,1.288559198803941399e+02,1.718735252517048062e+00
7.900000000000000000e+01,2.837813504823151334e+02,3.595414012738853557e+02,-7.576005079157022237e+01,-1.026051903442998459e+00
8.000000000000000000e+01,2.520900321543408324e+02,2.753630573248407813e+02,-2.327302517049994890e+01,-3.095127153083702676e-01
8.100000000000000000e+01,-4.545852090032154251e+02,-5.342165605095541423e+02,7.963135150633871717e+01,1.073642845150671432e+00
8.200000000000000000e+01,1.518713826366559374e+02,1.869044585987261087e+02,-3.503307596207017127e+01,-4.628320364511243623e-01
8.300000000000000000e+01,7.675884244372990679e+02,7.920509554140127193e+02,-2.446253097671365140e+01,-3.323913670123379016e-01
8.400000000000000000e+01,3.302893890675240982e+02,2.684331210191082846e+02,6.185626804841581361e+01,8.335001323734415601e-01
8.500000000000000000e+01,-1.792411575562701103e+02,-8.050955414012739197e+01,-9.873160341614271829e+01,-1.325262669505411717e+00
8.600000000000000000e+01,-6.235369774919614656e+02,-6.485605095541401397e+02,2.502353206217867410e+01,3.341511173493977305e-01
8.700000000000000000e+01,-9.859292604501607684e+02,-1.065171974522292885e+03,7.924271407213211660e+01,1.051908465587519714e+00
8.800000000000000000e+01,-1.417260450160771597e+03,-1.293044585987261144e+03,-1.242158641735104538e+02,-1.671797674306772619e+00
8.900000000000000000e+01,-1.464591639871382540e+03,-1.619770700636942593e+03,1.551790607655600525e+02,2.093328390788941729e+00
9.000000000000000000e+01,-1.263948553054662398e+03,-1.191337579617834308e+03,-7.261097343682808969e+01,-9.847198684390200407e-01
9.100000000000000000e+01,-1.061041800643086845e+03,-9.889426751592357050e+02,-7.209912548385113951e+01,-9.758934460395459753e-01
9.200000000000000000e+01,-5.408102893890675205e+02,-6.010700636942675601e+02,6.025977430520003963e+01,8.138935667453774947e-01
9.300000000000000000e+01,-8.848874598070739950e+00,-6.053503184713375873e+01,5.168615724906301523e+01,7.101442628429236459e-01
9.400000000000000000e+01,1.107138263665594877e+02,2.564076433121019249e+02,-1.456938169455424372e+02,-1.952904811013625341e+00
9.500000000000000000e+01,3.848231511254019210e+02,2.859617834394904321e+02,9.886136768591148893e+01,1.335057117787003866e+00
9.600000000000000000e+01,2.597041800643086731e+02,3.265222929936305718e+02,-6.681811292932189872e+01,-8.857756138531686085e-01
9.700000000000000000e+01,1.494019292604501743e+02,7.847133757961783829e+01,7.093059168083233601e+01,9.246231601585982451e-01
9.800000000000000000e+01,-1.125659163987138243e+02,-1.210700636942675175e+02,8.504147295553693198e+00,1.142840115368424225e-01
9.900000000000000000e+01,-2.636141479099678691e+02,-2.676178343949044347e+02,4.003686484936565648e+00,5.434459575550781851e-02
1.000000000000000000e+02,-3.304951768488746211e+02,-2.672101910828025666e+02,-6.328498576607205450e+01,-8.610553040963241367e-01
1.010000000000000000e+02,-2.761672025723472643e+02,-3.589299363057324967e+02,8.276273373338523243e+01,1.107721627325124025e+00
1.020000000000000000e+02,-3.502508038585208965e+02,-2.670063694267515757e+02,-8.324443443176932078e+01,-1.092188294615765942e+00
1.030000000000000000e+02,-4.383279742765273568e+02,-4.958980891719745046e+02,5.757011489544714777e+01,7.722136499727854098e-01
1.040000000000000000e+02,-5.237299035369775311e+02,-5.645859872611464425e+02,4.085608372416891143e+01,5.528873126643929492e-01
1.050000000000000000e+02,-7.766430868167202561e+02,-6.738343949044585770e+02,-1.028086919122616791e+02,-1.380852992086590403e+00
1.060000000000000000e+02,-6.667524115755627463e+02,-6.840254777070064165e+02,1.727306613144367020e+01,2.315004232220472524e-01
1.070000000000000000e+02,-7.107909967845658912e+02,-7.592356687898088694e+02,4.844467200524297823e+01,6.489447703813401302e-01
1.080000000000000000e+02,-8.315884244372990679e+02,-7.732993630573248538e+02,-5.828906137997421411e+01,-7.959704445196433831e-01
