time_us,mean_m0,mean_m1,diff,welch_t
0.000000000000000000e+00,7.882968960863697703e+02,7.089749670619236213e+02,7.932192902444614901e+01,4.006672525623096726e-01
8.000000000000000383e-04,-3.664669365721997565e+02,-3.209275362318840621e+02,-4.553940034031569439e+01,-2.356753768343027300e-01
1.600000000000000077e-03,-1.046715249662618135e+03,-9.103346508563899988e+02,-1.363805988062281358e+02,-1.044594634982278780e+00
2.399999999999999790e-03,1.674709851551956774e+02,1.310355731225296552e+02,3.643541203266602224e+01,4.239515683549764380e-01
3.200000000000000153e-03,-7.868286099865047163e+02,-6.664769433465086195e+02,-1.203516666399960968e+02,-1.595401708301052102e+00
4.000000000000000083e-03,-4.363400809716599156e+02,-4.377971014492753739e+02,1.457020477615458276e+00,2.592818121119921243e-02
4.799999999999999580e-03,-2.952982456140350678e+02,-2.729486166007905013e+02,-2.234962901324456652e+01,-3.344747901250884614e-01
5.599999999999999943e-03,-1.373279352226720675e+02,-1.978181818181818130e+02,6.049024659550974548e+01,1.177598839902194383e+00
6.400000000000000307e-03,3.274278002699055605e+02,2.938603425559947482e+02,3.356745771391081234e+01,5.353542783215914369e-01
7.199999999999999803e-03,2.560000000000000000e+02,2.788511198945981278e+02,-2.285111989459812776e+01,-4.647678687187069002e-01
8.000000000000000167e-03,-8.403778677462888425e+01,-1.216758893280632350e+02,3.763810255343435074e+01,7.648492591961748577e-01
8.799999999999998795e-03,-6.427638326585695268e+02,-6.888221343873517526e+02,4.605830172878222584e+01,8.637177681713312793e-01
9.599999999999999159e-03,-2.366531713900134832e+02,-2.006851119894598128e+02,-3.596805940055367046e+01,-7.559100776037003255e-01
1.040000000000000126e-02,-5.490526315789473983e+02,-4.653702239789196256e+02,-8.368240760002777279e+01,-1.684444628948533085e+00
1.119999999999999989e-02,1.083940620782726114e+02,1.036310935441370162e+02,4.762968534135595178e+00,9.684765227949101996e-02
1.200000000000000025e-02,1.605614035087719174e+02,1.457918313570487499e+02,1.476957215172316751e+01,2.853278170298994554e-01
1.280000000000000061e-02,1.377079622132253689e+03,1.303525691699604749e+03,7.355393043264894004e+01,1.391928055059695968e+00
1.359999999999999924e-02,9.223427800269905674e+02,9.877417654808958787e+02,-6.539898545390531126e+01,-1.355842470150877332e+00
1.439999999999999961e-02,4.079244264507422599e+02,3.404901185770751226e+02,6.743430787366713730e+01,1.434723422992933761e+00
1.519999999999999997e-02,-8.073846153846153584e+02,-7.543399209486166228e+02,-5.304469443599873557e+01,-1.087538947305131121e+00
1.600000000000000033e-02,-1.543427800269905674e+02,-1.713412384716732504e+02,1.699845844468268297e+01,3.573587469503804459e-01
1.680000000000000243e-02,-1.192766531713900093e+02,-3.727009222661396848e+01,-8.200656094477604086e+01,-1.748277488197528040e+00
1.759999999999999759e-02,5.161457489878542901e+02,4.684901185770751226e+02,4.765563041077916751e+01,9.925925663197632254e-01
1.839999999999999969e-02,1.714439946018893295e+02,2.609749670619235644e+02,-8.953097246003423493e+01,-1.714863128736180631e+00
1.919999999999999832e-02,1.074785425101214514e+03,1.085301712779973741e+03,-1.051628767875922676e+01,-2.125085258132555777e-01
2.000000000000000042e-02,2.807017543859649322e+02,3.215177865612648134e+02,-4.081603217529988115e+01,-8.448387987060799187e-01
