time_us,abs_welch_t
0.000000000000000000e+00,4.006672525623096726e-01
8.000000000000000383e-04,2.356753768343027300e-01
1.600000000000000077e-03,1.044594634982278780e+00
2.399999999999999790e-03,4.239515683549764380e-01
3.200000000000000153e-03,1.595401708301052102e+00
4.000000000000000083e-03,2.592818121119921243e-02
4.799999999999999580e-03,3.344747901250884614e-01
5.599999999999999943e-03,1.177598839902194383e+00
6.400000000000000307e-03,5.353542783215914369e-01
7.199999999999999803e-03,4.647678687187069002e-01
8.000000000000000167e-03,7.648492591961748577e-01
8.799999999999998795e-03,8.637177681713312793e-01
9.599999999999999159e-03,7.559100776037003255e-01
1.040000000000000126e-02,1.684444628948533085e+00
1.119999999999999989e-02,9.684765227949101996e-02
1.200000000000000025e-02,2.853278170298994554e-01
1.280000000000000061e-02,1.391928055059695968e+00
1.359999999999999924e-02,1.355842470150877332e+00
1.439999999999999961e-02,1.434723422992933761e+00
1.519999999999999997e-02,1.087538947305131121e+00
1.600000000000000033e-02,3.573587469503804459e-01
1.680000000000000243e-02,1.748277488197528040e+00
1.759999999999999759e-02,9.925925663197632254e-01
1.839999999999999969e-02,1.714863128736180631e+00
1.919999999999999832e-02,2.125085258132555777e-01
2.000000000000000042e-02,8.448387987060799187e-01
2.080000000000000251e-02,2.076627360281396495e+00
2.160000000000000114e-02,7.344707631402263015e-01
2.239999999999999977e-02,7.885105210990686064e-01
2.319999999999999840e-02,3.457624628782305920e-01
2.400000000000000050e-02,5.676055693260402268e-01
2.479999999999999913e-02,1.502548196252846635e+00
2.560000000000000123e-02,3.879605094956974920e+00
2.639999999999999986e-02,2.303474490407903641e+00
2.719999999999999848e-02,1.906870833776289909e-01
2.800000000000000058e-02,6.850413521600502709e-02
2.879999999999999921e-02,2.367938485268744619e-01
2.960000000000000131e-02,1.130231117451836242e+00
3.039999999999999994e-02,3.286307731330108339e+00
3.120000000000000204e-02,2.008261141828834084e+00
3.200000000000000067e-02,2.452484943734324130e+00
3.280000000000000276e-02,9.084046750032536144e-01
3.360000000000000486e-02,9.409303380100100256e-01
3.440000000000000002e-02,2.189161631255507334e-01
3.519999999999999518e-02,2.967702206632253148e+00
3.599999999999999728e-02,2.470066944092747241e-01
3.679999999999999938e-02,1.557056581404280271e+00
3.760000000000000148e-02,4.514219948584347719e+00
3.839999999999999664e-02,9.547645131209669955e+00
3.919999999999999873e-02,3.972943496428496424e+00
4.000000000000000083e-02,7.600945659396791676e-01
4.080000000000000293e-02,1.951871876397737404e+00
4.160000000000000503e-02,2.318287643940087239e+00
4.240000000000000019e-02,4.481723464466499607e+00
4.320000000000000229e-02,5.285873137864245841e+00
4.399999999999999745e-02,1.823866836210172870e+00
4.479999999999999954e-02,4.640352581479966432e+00
4.559999999999999470e-02,2.527692236935501047e+00
4.639999999999999680e-02,2.685779514319567074e+00
4.719999999999999890e-02,1.579723719411873617e+00
4.800000000000000100e-02,1.611716228309315158e+00
4.880000000000000310e-02,3.158058933996540585e+00
4.959999999999999826e-02,4.435012286017637528e+00
5.040000000000000036e-02,1.914798604740116517e+01
5.120000000000000245e-02,1.577803601137212475e+01
5.200000000000000455e-02,6.005285014579651914e+00
5.279999999999999971e-02,8.027051039078187955e-01
5.359999999999999487e-02,2.045743022126536026e+00
5.439999999999999697e-02,6.233709991803892514e+00
5.519999999999999907e-02,1.228026197348788706e+01
5.600000000000000117e-02,7.868046463757123909e+00
5.679999999999999633e-02,1.152681665263444444e+01
5.759999999999999842e-02,8.875285890922818055e+00
5.840000000000000052e-02,9.689597490988299811e+00
5.920000000000000262e-02,5.299044715945251838e+00
5.999999999999999778e-02,6.782634339787864342e+00
6.079999999999999988e-02,6.763835346436084528e+00
6.159999999999999504e-02,7.293159742320800554e+00
6.240000000000000407e-02,9.382724466622017090e+00
6.319999999999999230e-02,2.094886691983273153e+01
6.400000000000000133e-02,1.437371760526042941e+01
6.479999999999999649e-02,6.767430222238464133e+00
6.560000000000000553e-02,3.592721976847905729e+00
6.640000000000000069e-02,7.474109600725302727e+00
6.720000000000000973e-02,1.065614464159065733e+01
6.800000000000000488e-02,1.111310059751527035e+01
6.880000000000000004e-02,1.036577484260064885e+01
6.959999999999999520e-02,1.116452999128915025e+01
7.039999999999999036e-02,1.126859721151310190e+01
7.119999999999999940e-02,9.491391743111238455e+00
7.199999999999999456e-02,7.513880780299224682e+00
7.280000000000000360e-02,6.175637880889569331e+00
7.359999999999999876e-02,1.002953397082891129e+01
7.440000000000000779e-02,7.846093204836765977e+00
7.520000000000000295e-02,1.226713312527008526e+01
7.600000000000001199e-02,1.276906867900448717e+01
7.679999999999999327e-02,9.810949061611795585e+00
7.759999999999998843e-02,6.417943562042114358e+00
7.839999999999999747e-02,7.693421228126812395e+00
7.919999999999999263e-02,8.244976789936703909e+00
8.000000000000000167e-02,1.069771328228173957e+01
