R,pbit_acc0.99,pbit_acc0.95,pbit_acc0.9,pbit_acc0.85,pkey_acc0.99,pkey_acc0.95,pkey_acc0.9,pkey_acc0.85
1.000000000000000000e+00,9.899999999999999911e-01,9.499999999999999556e-01,9.000000000000000222e-01,8.499999999999999778e-01,5.151371174238033035e-01,3.386553563803220562e-02,9.550049507968267617e-04,2.196084755091205182e-05
2.000000000000000000e+00,9.899999999999999911e-01,9.499999999999999556e-01,9.000000000000000222e-01,8.499999999999998668e-01,5.151371174238033035e-01,3.386553563803220562e-02,9.550049507968267617e-04,2.196084755091186208e-05
3.000000000000000000e+00,9.997020000000000906e-01,9.927500000000001323e-01,9.720000000000001972e-01,9.392500000000002514e-01,9.805212792688032808e-01,6.186330506147272867e-01,1.534523293095506058e-01,1.597936240739863262e-02
4.000000000000000000e+00,9.997019999999998685e-01,9.927499999999997993e-01,9.719999999999996421e-01,9.392499999999994742e-01,9.805212792687889589e-01,6.186330506147136310e-01,1.534523293095448326e-01,1.597936240739775832e-02
5.000000000000000000e+00,9.999901493999999724e-01,9.988418750000003232e-01,9.914400000000005431e-01,9.733881250000007146e-01,9.993500684948826152e-01,9.263709361328212877e-01,5.670023011005816960e-01,1.686082745152882312e-01
6.000000000000000000e+00,9.999901494000000834e-01,9.988418750000002122e-01,9.914400000000003210e-01,9.733881250000007146e-01,9.993500684948899426e-01,9.263709361328145153e-01,5.670023011005732583e-01,1.686082745152882312e-01
7.000000000000000000e+00,9.999996583301998809e-01,9.998064218749999066e-01,9.972719999999997142e-01,9.878968281249997929e-01,9.999774500435938407e-01,9.873038913152925034e-01,8.350246504868039654e-01,4.476772323779296126e-01
8.000000000000000000e+00,9.999996583301998809e-01,9.998064218749994625e-01,9.972719999999990481e-01,9.878968281249990158e-01,9.999774500435938407e-01,9.873038913152635265e-01,8.350246504867671060e-01,4.476772323779063534e-01
9.000000000000000000e+00,9.999999878146312859e-01,9.999667777929681645e-01,9.991090799999989835e-01,9.943713368945298336e-01,9.999991957659833952e-01,9.978097001276166056e-01,9.428699385395926669e-01,6.889812609659364817e-01
1.000000000000000000e+01,9.999999878146315080e-01,9.999667777929691637e-01,9.991090800000002048e-01,9.943713368945314990e-01,9.999991957659980502e-01,9.978097001276824418e-01,9.428699385396688282e-01,6.889812609660126430e-01
1.100000000000000000e+01,9.999999995574567757e-01,9.999941986549423234e-01,9.997042939200013745e-01,9.973431364197480331e-01,9.999999707921476411e-01,9.996171834085312291e-01,9.806697842611080684e-01,8.389649458847097119e-01
1.200000000000000000e+01,9.999999995574563316e-01,9.999941986549406581e-01,9.997042939199989320e-01,9.973431364197454796e-01,9.999999707921183312e-01,9.996171834084213170e-01,9.806697842609499727e-01,8.389649458845679364e-01
1.300000000000000000e+01,9.999999999837209108e-01,9.999989744550679127e-01,9.999007145135988539e-01,9.987324526977832129e-01,9.999999989255801136e-01,9.999323162904203421e-01,9.934682577501170453e-01,9.196968380467733795e-01
1.400000000000000000e+01,9.999999999837215769e-01,9.999989744550702442e-01,9.999007145136025176e-01,9.987324526977868766e-01,9.999999989256240784e-01,9.999323162905742191e-01,9.934682577503572976e-01,9.196968380469959792e-01
