metric,value,unit,source,note
single_query_oracle_acc_baseline,0.7440,fraction,fix7_device.csv,"device CW310 HQC-G, m'=0 vs decode-failure, fillers anywhere"
peak_tvla_t_baseline,14.216,abs_t,fix7_device.csv,"Welch |t|, baseline ciphertext"
single_query_oracle_acc_fix7,0.7600,fraction,fix7_device.csv,"device CW310 HQC-G, fix #7 systematic-region fillers"
peak_tvla_t_fix7,17.068,abs_t,fix7_device.csv,"Welch |t|, fix #7 ciphertext (stronger leak)"
boundary_word_success_rate,0.6000,fraction,fix7_construction.csv,make_boundary_word() probeable-pivot rate (40% unprobeable)
model_oracle_acc_baseline_RS_T_any,0.7250,fraction,fix7_construction.csv,"HW-model acc; d'=0.9455, class0 HW 8.150, class1 HW 18.733"
model_oracle_acc_RS_T_sys,0.7583,fraction,fix7_construction.csv,"HW-model acc; d'=1.2393, class0 HW 18.683, class1 HW 52.117"
model_oracle_acc_RS_T_parity,0.7292,fraction,fix7_construction.csv,"HW-model acc; d'=0.9152, class0 HW 1.167, class1 HW 2.942"
model_oracle_acc_max_sys_fillers,0.7750,fraction,fix7_construction.csv,"HW-model acc; d'=1.3178, class0 HW 19.392, class1 HW 54.025"
model_oracle_acc_sys_maxhw,0.7500,fraction,fix7_construction.csv,"HW-model acc; d'=1.1725, class0 HW 34.967, class1 HW 90.150"
class0_success_HW_mean_baseline,7.7,bits,oracle_msgs_meta.json,success m' Hamming weight (128-bit)
class1_failure_HW_mean_baseline,19.19,bits,oracle_msgs_meta.json,decode-failure m' Hamming weight (128-bit)
class0_success_HW_mean_fix7_sys,20.55,bits,oracle_msgs_sys_meta.json,success m' Hamming weight (128-bit)
class1_failure_HW_mean_fix7_sys,54.45,bits,oracle_msgs_sys_meta.json,decode-failure m' Hamming weight (128-bit)
R_for_99pct_key_hard_p0.74,51,queries/bit,soft_vs_hard.csv,"min R for >=99% full-key at oracle p=0.74, d'=1.28669"
R_for_99pct_key_soft_p0.74,31,queries/bit,soft_vs_hard.csv,"min R for >=99% full-key at oracle p=0.74, d'=1.28669"
R_for_99pct_key_hard_p0.76,41,queries/bit,soft_vs_hard.csv,"min R for >=99% full-key at oracle p=0.76, d'=1.41261"
R_for_99pct_key_soft_p0.76,31,queries/bit,soft_vs_hard.csv,"min R for >=99% full-key at oracle p=0.76, d'=1.41261"
per_bit_acc_after_voting_max,1.0,fraction,soft_vs_hard.csv,per-secret-bit accuracy after soft combining (approaches 1.0)
full_key_verified_missing0,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^0.0"
full_key_verified_missing1,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^2.32"
full_key_verified_missing2,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^3.32"
full_key_verified_missing3,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^3.32"
full_key_verified_missing4,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^2.32"
full_key_verified_missing5,30/30,keys,linalg_completion.csv,"linear-algebra tail completion, 100.0% full-key verified, cost 2^0.0"
structural_untprobeable_tail,5,coords,linalg_completion.csv,n - n1*n2 for HQC-RMRS-128 (tiny)
