p,d_prime,R,hard_bit,soft_bit,hard_key,soft_key
0.74,1.28669,1,0.740602,0.740602,0.000000,0.000000
0.74,1.28669,5,0.885716,0.924307,0.000500,0.005250
0.74,1.28669,11,0.959182,0.983852,0.067750,0.336000
0.74,1.28669,21,0.991155,0.998292,0.558750,0.891750
0.74,1.28669,31,0.997973,0.999848,0.873750,0.990000
0.74,1.28669,41,0.999489,0.999981,0.966500,0.998750
0.74,1.28669,51,0.999902,1.000000,0.993500,1.000000
0.74,1.28669,71,0.999985,1.000000,0.999000,1.000000
0.74,1.28669,101,1.000000,1.000000,1.000000,1.000000
0.76,1.41261,1,0.759394,0.759394,0.000000,0.000000
0.76,1.41261,5,0.906989,0.943015,0.000750,0.018250
0.76,1.41261,11,0.971511,0.990292,0.140000,0.527500
0.76,1.41261,21,0.995348,0.999436,0.732500,0.963750
0.76,1.41261,31,0.999136,0.999951,0.943500,0.996750
0.76,1.41261,41,0.999845,0.999996,0.990000,0.999750
0.76,1.41261,51,0.999958,1.000000,0.997250,1.000000
0.76,1.41261,71,1.000000,1.000000,1.000000,1.000000
0.76,1.41261,101,1.000000,1.000000,1.000000,1.000000
