sample,mean_class0,mean_class1
0,551.332,465.267
1,1357.56,1371.06
2,2171.42,2128.75
3,3331.81,3224.66
4,11559,11523.4
5,-10405,-9882.37
6,-7515.21,-7963.23
7,5874.86,5777.52
8,3242.64,3401.19
9,-9198.79,-8940.84
10,-8249.56,-8473.69
11,-313.219,-375.238
12,7935.75,7824.41
13,841.325,1183.27
14,-6253.94,-6320.54
15,9688.07,9429.99
16,5506.63,5813.95
17,-3433.88,-3472.32
18,-3079.46,-2966.51
19,-5240.2,-5342.58
20,5083.8,4909.87
21,2388.94,2569.71
22,-4320.97,-4352.94
23,-3306.04,-3240.63
24,-2046.73,-2127.38
25,-2265.52,-2193.52
26,-1267.96,-1344
27,4577.4,4534.81
28,866.416,1053.29
29,-1446.48,-1512.81
30,93.8384,143.463
31,3013,2953.88
32,3736.84,3723.17
33,-123.253,-78.604
34,-2900.43,-2833.87
35,-3144.05,-3220.1
36,-1493.36,-1487.03
37,-1032.14,-1103.55
38,1027.05,1046.34
39,-630.167,-591.979
40,-3093.36,-3039.79
41,-7.37483,-108.499
42,-414.093,-309.605
43,-943.894,-928.129
44,271.089,276.016
45,945.42,973.487
46,297.621,315.017
47,181.997,161.933
48,2477.61,2390.51
49,2280.18,2335.01
50,422.909,406.851
51,-1492.68,-1489.7
52,-2120.22,-2151.77
53,-1759.45,-1707.3
54,-868.789,-958.969
55,-266.681,-194.148
56,-629.404,-621.96
57,-922.278,-894.454
58,-351.873,-378.846
59,215.82,335.291
60,905.325,814.733
61,-683.317,-620.499
62,1153.61,1150.28
63,-396.122,-459.511
64,430.453,489.149
65,327.544,250.502
66,2583.99,2442.74
67,2720.38,2816.34
68,722.056,769.89
69,-1061.89,-1022.37
70,-1526.25,-1526.55
71,-843.868,-778.91
72,-38.9086,-58.0725
73,-360.858,-310.98
74,-399.089,-336.838
75,240.996,152.999
76,603.55,669.895
77,886.93,836.038
78,924.821,918.679
79,544.551,536.827
80,305.844,323.436
81,-471.989,-521.965
82,228.62,175.936
83,929.229,898.663
84,298.638,430.217
85,176.911,68.4671
86,-512.509,-363.039
87,-946.522,-986.717
88,-1349.85,-1289.97
89,-1488.02,-1449.58
90,-1150.14,-1194.09
91,-1152.68,-1170.47
92,-570.744,-594.642
93,122.66,73.1919
