sample,mean0_minus_mean1
0,86.0653
1,-13.4976
2,42.6709
3,107.159
4,35.6426
5,-522.671
6,448.022
7,97.3359
8,-158.553
9,-257.949
10,224.128
11,62.019
12,111.337
13,-341.945
14,66.5928
15,258.082
16,-307.321
17,38.4468
18,-112.952
19,102.381
20,173.93
21,-180.77
22,31.9702
23,-65.4114
24,80.6487
25,-71.9902
26,76.0371
27,42.5903
28,-186.878
29,66.3207
30,-49.6247
31,59.1221
32,13.6694
33,-44.649
34,-66.5608
35,76.0491
36,-6.328
37,71.4113
38,-19.2839
39,-38.1884
40,-53.5764
41,101.124
42,-104.487
43,-15.7652
44,-4.92737
45,-28.0674
46,-17.3963
47,20.0645
48,87.0979
49,-54.8318
50,16.0576
51,-2.98682
52,31.552
53,-52.1523
54,90.1797
55,-72.5331
56,-7.44427
57,-27.8245
58,26.9728
59,-119.471
60,90.5916
61,-62.8172
62,3.32874
63,63.3896
64,-58.696
65,77.0424
66,141.251
67,-95.9622
68,-47.8344
69,-39.5236
70,0.298584
71,-64.9575
72,19.1639
73,-49.8784
74,-62.2512
75,87.9974
76,-66.3456
77,50.8922
78,6.14197
79,7.72412
80,-17.5925
81,49.9757
82,52.6843
83,30.566
84,-131.579
85,108.444
86,-149.47
87,40.1949
88,-59.8839
89,-38.4427
90,43.9589
91,17.7917
92,23.8972
93,49.4677
94,-16.6874
95,81.1494
96,-18.6939
97,25.6444
98,-0.626373
99,-55.625
100,51.7211
101,-85.8634
102,47.3382
103,-110.948
104,62.634
105,-1.86603
106,-33.9733
107,57.1053
108,57.9929
109,-62.3922
110,134.546
111,-28.5703
112,9.53839
113,8.21173
114,-59.5079
115,-25.4828
116,66.4276
117,-106.429
118,-28.0384
119,-6.93903
120,39.2056
121,-28.989
122,8.25952
123,82.3577
124,-94.0597
125,119.361
126,-16.8
127,10.7462
128,-51.1607
129,112.641
130,-75.1974
131,10.6323
132,17.0537
133,-25.2632
134,-59.9312
135,42.8296
136,-39.0725
137,32.9009
138,-5.59814
139,21.5784
140,4.5575
141,85.1392
142,-109.619
143,31.527
144,-24.2636
145,2.95209
146,-36.571
147,-2.03329
148,-48.868
149,-16.8712
150,34.1877
151,-80.2533
152,84.4365
153,-91.226
154,81.8048
155,-12.8102
156,72.4257
157,-16.6931
158,68.0728
159,-89.3531
160,90.1792
161,-73.7967
162,-21.9572
163,-27.8273
164,-34.8574
165,-16.5588
166,71.4698
167,-33.0835
168,54.0019
169,-36.4856
170,102.091
171,-40.786
172,16.0707
173,38.1935
174,-112.546
175,77.2466
176,-81.605
177,5.89337
178,-65.2471
179,16.7437
180,-7.65021
181,-37.7503
182,73.9583
183,35.2351
184,-39.8251
185,180.643
186,-140.896
187,54.3444
188,8.09167
189,-107.946
190,-12.4109
191,51.6454
192,-36.8059
193,-48.8521
194,-12.2982
195,47.4787
196,-73.0747
197,137.302
198,-37.4318
199,-45.2605
200,130.435
201,-85.9766
202,91.5719
203,-92.3973
204,28.6004
205,-30.1815
206,-70.9396
207,24.5344
208,-15.227
209,-22.3572
210,107.004
211,-110.559
212,153.477
213,-35.7323
214,-12.3466
215,69.0764
216,-24.4406
217,4.64062
218,-21.4868
219,-2.65112
220,2.83603
221,-61.0365
222,45.339
223,-53.3471
224,-5.39217
225,61.6908
226,-73.3291
227,117.765
228,-104.217
229,112.515
230,48.1882
231,-69.8717
232,84.1066
233,-23.734
234,-79.508
235,75.3669
236,-129.809
237,40.1727
238,-26.9364
239,24.461
240,-56.4488
241,66.4446
242,30.6781
243,-40.2899
244,19.7607
245,86.7418
246,-104.865
247,97.0659
248,-19.4011
249,-50.94
250,86.9802
251,-132.638
252,70.2961
253,-164.106
254,174.921
255,-73.6128
256,-11.7061
257,106.49
258,-8.47314
259,-54.1099
260,145.714
261,-164.062
262,124.839
263,-114.999
264,17.1606
265,-45.6245
266,-49.9426
267,-40.2148
268,-51.9175
269,11.5
270,-17.5913
271,-49.4767
272,97.0118
273,-59.1295
274,73.0691
275,28.923
276,-110.983
277,97.1648
278,-106.419
279,91.251
280,-91.5451
281,-31.0775
282,-12.4615
283,-18.8607
284,-37.4147
285,53.0581
286,-6.53513
287,46.5656
288,12.8791
289,71.4408
290,-66.3792
291,37.6405
292,-15.1547
293,-46.0001
294,49.3436
295,-51.4332
296,-33.7981
297,-12.066
298,-21.5925
299,6.6626
300,-36.6608
301,28.621
302,4.00635
303,-4.61108
304,113.12
305,-71.2712
306,-15.4899
307,37.4084
308,-14.8976
309,-114.079
310,92.011
311,-117.502
312,10.8491
313,-12.329
314,-39.3386
315,-8.71808
316,112.177
317,-91.5027
318,-5.04224
319,29.6132
320,9.14246
321,-63.5552
322,59.7725
323,-62.2666
324,-37.0505
325,8.8916
326,-77.9725
327,10.2952
328,-42.2925
329,54.9503
330,-47.476
331,13.9617
332,15.8824
333,34.7869
334,-27.5542
335,76.3301
336,-123.883
337,45.6674
338,-17.2501
339,-43.7011
340,-13.6489
341,-43.4798
342,-13.3177
343,-31.1008
344,-12.0917
345,7.21381
346,-26.3675
347,81.8076
348,-35.787
349,54.9498
350,17.6278
351,-61.0434
352,87.3812
353,-129.963
354,91.371
355,-72.103
356,-69.4092
357,65.2699
358,7.86865
359,-41.7732
360,69.1998
361,-60.5461
362,65.2175
363,-7.09949
364,67.3788
365,-133.639
366,169.788
367,-115.804
368,-3.51025
369,40.1346
370,-102.552
371,-38.1685
372,-36.3752
373,45.4386
374,-56.4459
375,69.0383
376,34.2732
377,35.7051
378,-47.3521
379,180.605
380,-130.229
381,110.038
382,-35.1021
383,66.8037
384,-51.2441
385,63.8569
386,-49.9092
387,-25.7241
388,73.5122
389,-56.6025
390,15.4033
391,107.888
392,-62.1958
393,61.2524
394,21.1528
395,-20.605
396,-34.8066
397,15.6885
398,5.39661
399,-63.5931
400,33.01
401,-96.5544
402,37.1888
403,-51.8082
404,24.9725
405,26.1564
406,-36.101
407,51.9794
408,62.77
409,-65.6664
410,64.0797
411,-91.6646
412,21.1204
413,10.2354
414,-64.2025
415,-47.2728
416,23.4694
417,-47.4991
418,6.67102
419,-28.3906
420,102.777
421,-73.1648
422,77.0911
423,34.6338
424,-11.9126
425,10.345
426,-35.8125
427,29.5291
428,-71.6216
429,48.9556
430,-53.7722
431,-15.1626
432,31.0273
433,31.9524
434,-93.2473
435,148.693
436,-120.163
437,80.0032
438,57.061
439,-24.0764
440,-23.9336
441,66.4036
442,-29.4961
443,-55.9966
444,-3.25317
445,-41.0415
446,-47.6755
447,75.9661
448,-50.9104
449,1.10376
450,37.1479
451,-44.3645
452,87.4263
453,-24.0349
454,81.8953
455,-32.2905
456,-27.3494
457,11.999
458,43.0354
459,-108.347
460,8.57861
461,-57.8779
462,-1.62598
463,-13.176
464,-36.0776
465,27.6737
466,45.2668
467,-52.3878
468,58.1328
469,-56.4181
470,22.7816
471,-43.8673
