projection,true_label,pred
-11.7913,1,1
13.409,0,0
-7.03879,1,1
-11.5442,1,1
15.8682,0,0
-9.97971,1,1
-12.4733,1,1
-11.2167,1,1
-10.4125,1,1
-12.414,1,1
2.70925,0,0
-11.2962,1,1
-12.9591,1,1
-15.388,1,1
7.21159,0,0
-16.2114,1,1
-12.5061,1,1
-13.7325,1,1
14.4709,0,0
-15.0132,1,1
-8.41615,1,1
-14.8041,1,1
11.3948,0,0
-12.4372,1,1
-12.541,1,1
4.27177,0,0
12.3793,0,0
-12.3021,1,1
-10.8779,1,1
13.2956,0,0
-7.28035,1,1
-12.8955,1,1
2.91307,0,0
-12.5737,1,1
-15.8378,1,1
-8.04562,1,1
-10.2451,1,1
-9.78633,1,1
-7.02654,1,1
9.47319,0,0
-16.7747,1,1
10.3531,0,0
15.1429,0,0
15.8941,0,0
-16.375,1,1
-11.1935,1,1
-20.2639,1,1
-10.0538,1,1
14.593,0,0
-11.7691,1,1
-8.67824,1,1
-12.8024,1,1
-14.718,1,1
10.0957,0,0
12.4941,0,0
-16.0251,1,1
-12.5902,1,1
-14.5626,1,1
14.119,0,0
20.7209,0,0
-15.5768,1,1
8.65627,0,0
11.3927,0,0
-13.2724,1,1
8.62736,0,0
-14.8474,1,1
-14.8947,1,1
16.2069,0,0
-6.04919,1,1
13.4811,0,0
-11.9012,1,1
13.3778,0,0
14.2065,0,0
-14.3684,1,1
11.63,0,0
-9.29012,1,1
9.37117,0,0
14.5214,0,0
-11.8233,1,1
-10.3131,1,1
-15.6304,1,1
-16.3287,1,1
-10.8187,1,1
19.2848,0,0
14.9547,0,0
-12.2274,1,1
-9.27957,1,1
-18.1006,1,1
-15.857,1,1
10.2321,0,0
-11.7947,1,1
-12.0988,1,1
11.0725,0,0
10.6462,0,0
13.522,0,0
-9.30396,1,1
15.4841,0,0
10.5528,0,0
-8.89784,1,1
-14.1237,1,1
17.0005,0,0
4.45409,0,0
12.1636,0,0
13.0922,0,0
10.8316,0,0
10.6832,0,0
10.0689,0,0
-11.6781,1,1
-12.3872,1,1
-12.2303,1,1
-14.6675,1,1
8.19412,0,0
-9.96602,1,1
-8.34718,1,1
-6.41898,1,1
-13.4683,1,1
16.2809,0,0
-9.1033,1,1
10.6974,0,0
14.4753,0,0
-12.4998,1,1
13.4618,0,0
12.5411,0,0
13.3078,0,0
16.1944,0,0
8.45314,0,0
11.7736,0,0
-11.5096,1,1
-16.8406,1,1
-10.4668,1,1
16.3027,0,0
-8.36562,1,1
18.6268,0,0
-11.0878,1,1
-11.3907,1,1
15.0265,0,0
-11.1534,1,1
-6.15454,1,1
-13.8893,1,1
-13.0506,1,1
-12.1902,1,1
-16.3083,1,1
-11.8952,1,1
7.63264,0,0
-16.0885,1,1
16.8888,0,0
11.3505,0,0
13.4869,0,0
16.2597,0,0
-9.34891,1,1
-17.2134,1,1
-14.3321,1,1
13.6051,0,0
11.051,0,0
14.604,0,0
-12.3102,1,1
8.45457,0,0
-12.3786,1,1
10.246,0,0
11.516,0,0
-13.9914,1,1
-10.9403,1,1
10.6368,0,0
-19.5244,1,1
-14.5174,1,1
12.1689,0,0
11.0578,0,0
15.8059,0,0
10.505,0,0
11.6787,0,0
11.6289,0,0
13.8107,0,0
-11.2285,1,1
15.9266,0,0
-7.17987,1,1
-11.3773,1,1
14.1097,0,0
-11.4514,1,1
-21.5736,1,1
12.6465,0,0
-8.74834,1,1
17.2204,0,0
-11.0158,1,1
12.542,0,0
15.111,0,0
17.8462,0,0
9.10418,0,0
14.1885,0,0
16.6913,0,0
-14.679,1,1
16.6427,0,0
-8.27083,1,1
12.6967,0,0
15.6179,0,0
-12.48,1,1
16.1076,0,0
13.1094,0,0
-10.1077,1,1
-16.5939,1,1
-14.5139,1,1
-11.148,1,1
-7.2506,1,1
10.4893,0,0
-9.79544,1,1
12.3423,0,0
-10.5287,1,1
17.7222,0,0
-8.23856,1,1
11.0965,0,0
-14.0294,1,1
11.2277,0,0
14.0769,0,0
10.3085,0,0
-12.3233,1,1
11.8245,0,0
15.1685,0,0
-18.8834,1,1
16.6113,0,0
-10.501,1,1
-9.22882,1,1
-8.96568,1,1
10.9543,0,0
-12.3773,1,1
-14.643,1,1
11.4449,0,0
18.0236,0,0
8.41954,0,0
-9.14754,1,1
-7.00519,1,1
13.2603,0,0
-15.5869,1,1
10.6455,0,0
-13.5407,1,1
-16.3445,1,1
-10.5717,1,1
-16.0938,1,1
15.1768,0,0
12.5043,0,0
14.8819,0,0
-17.9348,1,1
9.50058,0,0
14.3196,0,0
-13.8339,1,1
-6.36807,1,1
13.6164,0,0
-8.94662,1,1
-10.5371,1,1
-6.05434,1,1
19.046,0,0
-9.29608,1,1
13.3923,0,0
12.9636,0,0
10.8182,0,0
-12.8144,1,1
13.3313,0,0
12.9864,0,0
-12.2492,1,1
13.5214,0,0
0.781387,0,0
-4.85326,1,1
-14.5696,1,1
6.22524,0,0
7.7029,0,0
-12.1199,1,1
-7.32425,1,1
-9.12541,1,1
16.2125,0,0
-6.45807,1,1
13.8189,0,0
7.00858,0,0
8.78036,0,0
-12.7763,1,1
7.49948,0,0
17.4146,0,0
12.0168,0,0
-8.6398,1,1
13.1786,0,0
13.4064,0,0
12.4812,0,0
8.3419,0,0
10.4548,0,0
-11.0535,1,1
11.0143,0,0
14.4289,0,0
9.43658,0,0
14.6945,0,0
10.0034,0,0
18.8718,0,0
-11.9558,1,1
10.4876,0,0
11.6729,0,0
-9.63672,1,1
15.5116,0,0
11.328,0,0
-16.735,1,1
-9.07768,1,1
-11.0415,1,1
8.93747,0,0
10.1716,0,0
-15.1805,1,1
18.7345,0,0
7.97312,0,0
-10.9094,1,1
-14.6882,1,1
10.7747,0,0
17.4971,0,0
19.338,0,0
-10.9668,1,1
-15.1454,1,1
-11.7266,1,1
9.61839,0,0
8.88827,0,0
9.79056,0,0
5.87796,0,0
7.54094,0,0
15.373,0,0
6.6693,0,0
14.8932,0,0
-7.88756,1,1
10.3786,0,0
14.7774,0,0
-9.08727,1,1
-17.0316,1,1
15.2104,0,0
9.52619,0,0
10.9678,0,0
-16.4553,1,1
-7.46948,1,1
-18.2784,1,1
12.3313,0,0
-13.3943,1,1
14.9668,0,0
-13.4975,1,1
-15.9094,1,1
-11.2135,1,1
10.6575,0,0
17.0085,0,0
5.75373,0,0
10.531,0,0
-17.1039,1,1
11.7821,0,0
-6.87148,1,1
-10.8559,1,1
-9.78171,1,1
14.7413,0,0
13.3833,0,0
14.6395,0,0
-6.69754,1,1
-15.8324,1,1
-12.4263,1,1
-14.4033,1,1
-13.0508,1,1
15.7208,0,0
15.8245,0,0
-14.8342,1,1
17.3469,0,0
-15.0501,1,1
-7.83168,1,1
15.879,0,0
14.5053,0,0
-9.61411,1,1
-11.4852,1,1
-13.6874,1,1
14.7046,0,0
-7.76332,1,1
12.6984,0,0
-13.4516,1,1
14.9061,0,0
-13.8188,1,1
-15.1034,1,1
-12.8036,1,1
8.17609,0,0
-17.2213,1,1
12.4753,0,0
-18.9196,1,1
-15.8522,1,1
-14.3319,1,1
-15.4224,1,1
-11.4113,1,1
-17.9795,1,1
-12.2611,1,1
13.0324,0,0
9.96714,0,0
11.8187,0,0
-13.2455,1,1
-13.5185,1,1
-10.7294,1,1
