sample,welch_t
0,1.04162
1,-0.190754
2,0.58055
3,0.705288
4,0.239822
5,-1.35868
6,1.29731
7,1.11277
8,-1.12834
9,-1.39135
10,1.52326
11,0.417125
12,1.12254
13,-1.3815
14,0.430221
15,1.09863
16,-1.098
17,0.433051
18,-0.969315
19,0.770857
20,1.2584
21,-1.08418
22,0.410241
23,-0.849667
24,1.02565
25,-0.861724
26,0.620318
27,0.523285
28,-1.69984
29,0.905327
30,-0.60071
31,0.719965
32,0.173404
33,-0.456792
34,-0.869518
35,1.02091
36,-0.0870448
37,0.957334
38,-0.244121
39,-0.375395
40,-0.688949
41,1.20705
42,-1.33915
43,-0.216143
44,-0.0657011
45,-0.377686
46,-0.23112
47,0.265088
48,1.14057
49,-0.732232
50,0.206578
51,-0.0396771
52,0.426972
53,-0.702414
54,1.23266
55,-1.03877
56,-0.103625
57,-0.387394
58,0.362231
59,-1.62518
60,1.19592
61,-0.830165
62,0.0439892
63,0.868744
64,-0.803495
65,0.949444
66,1.90748
67,-1.27212
68,-0.581375
69,-0.525897
70,0.00417841
71,-0.91506
72,0.264013
73,-0.672297
74,-0.845984
75,1.20436
76,-0.917919
77,0.703034
78,0.0834479
79,0.105067
80,-0.237719
81,0.689426
82,0.683557
83,0.407842
84,-1.799
85,1.4852
86,-2.06559
87,0.556502
88,-0.821799
89,-0.528233
90,0.620905
91,0.251816
92,0.318038
93,0.697491
94,-0.231115
95,1.12368
96,-0.258269
97,0.357551
98,-0.00883116
99,-0.783656
100,0.70296
101,-1.20129
102,0.658888
103,-1.50325
104,0.832988
105,-0.02605
106,-0.47219
107,0.751646
108,0.793208
109,-0.847333
110,1.89259
111,-0.398159
112,0.129647
113,0.111421
114,-0.840971
115,-0.355468
116,0.929255
117,-1.4288
118,-0.38156
119,-0.0929245
120,0.557582
121,-0.408128
122,0.111095
123,1.00625
124,-1.17755
125,1.44919
126,-0.22874
127,0.144077
128,-0.638964
129,1.31709
130,-1.0073
131,0.141202
132,0.223685
133,-0.34224
134,-0.813361
135,0.616418
136,-0.548959
137,0.459004
138,-0.0764119
139,0.289012
140,0.063345
141,1.18805
142,-1.50366
143,0.434575
144,-0.331686
145,0.0421249
146,-0.517001
147,-0.0280528
148,-0.686116
149,-0.236887
150,0.484021
151,-1.11202
152,1.20035
153,-1.29247
154,1.12452
155,-0.175621
156,1.01182
157,-0.228094
158,0.909921
159,-1.24297
160,1.29003
161,-1.03361
162,-0.301146
163,-0.37945
164,-0.485379
165,-0.236931
166,0.980827
167,-0.46005
168,0.764344
169,-0.497026
170,1.36662
171,-0.556565
172,0.223017
173,0.538175
174,-1.62006
175,1.0838
176,-1.13765
177,0.0827796
178,-0.896602
179,0.22685
180,-0.107138
181,-0.511423
182,0.989974
183,0.484089
184,-0.55229
185,2.39481
186,-1.88127
187,0.718284
188,0.109913
189,-1.37357
190,-0.169543
191,0.684741
192,-0.50685
193,-0.631717
194,-0.167397
195,0.639143
196,-0.994229
197,1.82718
198,-0.500002
199,-0.636539
200,1.7446
201,-1.16359
202,1.28119
203,-1.30037
204,0.391181
205,-0.401859
206,-0.937003
207,0.332546
208,-0.207469
209,-0.305026
210,1.50049
211,-1.53038
212,2.06746
213,-0.493501
214,-0.172421
215,0.943389
216,-0.328536
217,0.0621617
218,-0.301422
219,-0.0374313
220,0.038534
221,-0.811716
222,0.617864
223,-0.744933
224,-0.077637
225,0.868921
226,-1.02523
227,1.65972
228,-1.46112
229,1.58315
230,0.660022
231,-0.942276
232,1.13434
233,-0.327888
234,-1.11776
235,1.06274
236,-1.77586
237,0.551856
238,-0.368229
239,0.348899
240,-0.807132
241,0.905969
242,0.412902
243,-0.550895
244,0.271413
245,1.20345
246,-1.43235
247,1.24496
248,-0.234155
249,-0.655625
250,1.0389
251,-1.80408
252,0.929161
253,-2.09628
254,2.07815
255,-1.02513
256,-0.158691
257,1.45356
258,-0.118226
259,-0.747473
260,2.05247
261,-2.27335
262,1.74053
263,-1.60374
264,0.241524
265,-0.629453
266,-0.681848
267,-0.557393
268,-0.722398
269,0.1561
270,-0.244536
271,-0.686471
272,1.31857
273,-0.820322
274,1.02344
275,0.404803
276,-1.5742
277,1.35818
278,-1.51638
279,1.25405
280,-1.29807
281,-0.428368
282,-0.171922
283,-0.257355
284,-0.515728
285,0.746156
286,-0.092967
287,0.640103
288,0.178909
289,0.996256
290,-0.933974
291,0.510262
292,-0.204609
293,-0.635865
294,0.673952
295,-0.687202
296,-0.462871
297,-0.165471
298,-0.304306
299,0.0942441
300,-0.501151
301,0.407459
302,0.0575653
303,-0.0646404
304,1.59137
305,-1.00828
306,-0.215149
307,0.498196
308,-0.201735
309,-1.55534
310,1.2328
311,-1.54019
312,0.145659
313,-0.165727
314,-0.487963
315,-0.117414
316,1.49619
317,-1.25263
318,-0.0647066
319,0.406617
320,0.123648
321,-0.892184
322,0.826792
323,-0.866788
324,-0.521474
325,0.124243
326,-1.08075
327,0.143466
328,-0.595505
329,0.78666
330,-0.664191
331,0.197147
332,0.216618
333,0.476426
334,-0.37048
335,1.04322
336,-1.72452
337,0.63417
338,-0.239097
339,-0.598907
340,-0.189468
341,-0.605173
342,-0.183941
343,-0.435037
344,-0.169991
345,0.0994875
346,-0.372587
347,1.18143
348,-0.511392
349,0.775979
350,0.244998
351,-0.851185
352,1.23158
353,-1.89716
354,1.27905
355,-1.02982
356,-0.981233
357,0.905153
358,0.108864
359,-0.575176
360,0.959867
361,-0.845675
362,0.900299
363,-0.0988697
364,0.946802
365,-1.88014
366,2.34055
367,-1.60288
368,-0.0495523
369,0.565887
370,-1.40792
371,-0.531724
372,-0.492924
373,0.583039
374,-0.72841
375,0.780618
376,0.475445
377,0.473297
378,-0.600944
379,2.27734
380,-1.77118
381,1.46003
382,-0.47364
383,0.901361
384,-0.692115
385,0.893012
386,-0.680813
387,-0.354925
388,1.03231
389,-0.781324
390,0.213406
391,1.49762
392,-0.854908
393,0.862755
394,0.290664
395,-0.286023
396,-0.487731
397,0.220873
398,0.0779159
399,-0.886488
400,0.447366
401,-1.34978
402,0.515135
403,-0.728855
404,0.3506
405,0.36481
406,-0.498413
407,0.714702
408,0.87455
409,-0.911386
410,0.888343
411,-1.2876
412,0.295855
413,0.143968
414,-0.895021
415,-0.664038
416,0.323916
417,-0.640337
418,0.0922605
419,-0.399356
420,1.46777
421,-1.00368
422,1.04082
423,0.486801
424,-0.169788
425,0.140524
426,-0.494712
427,0.416478
428,-1.00902
429,0.667201
430,-0.75095
431,-0.211272
432,0.426891
433,0.447541
434,-1.27375
435,2.05501
436,-1.63566
437,1.07082
438,0.763011
439,-0.298464
440,-0.316627
441,0.879886
442,-0.40629
443,-0.707532
444,-0.0440623
445,-0.557498
446,-0.664491
447,1.04075
448,-0.707356
449,0.0157722
450,0.515512
451,-0.617866
452,1.23629
453,-0.330659
454,1.09472
455,-0.436164
456,-0.372888
457,0.167089
458,0.584995
459,-1.49614
460,0.121928
461,-0.814181
462,-0.0224667
463,-0.185559
464,-0.502093
465,0.394918
466,0.640682
467,-0.736681
468,0.797352
469,-0.763551
470,0.310239
471,-0.608103
472,-0.567635
473,0.506773
474,-1.43009
475,0.0248437
476,-0.197679
477,-0.512155
478,0.0635556
479,0.294704
480,-0.027014
481,0.0824175
482,0.0295291
483,1.9477
484,-2.44333
485,2.15893
486,-1.50536
487,-0.27032
488,0.666306
489,-1.2384
490,-0.814308
491,0.899809
492,-1.19936
493,0.957076
494,-0.461515
495,0.71797
496,-0.397378
497,-0.179598
498,1.93173
499,-2.22589
500,1.93763
501,-0.714735
502,0.335689
503,-0.451251
504,0.057944
505,-0.367963
506,-0.753848
507,0.360062
508,1.22124
509,-1.74453
510,2.72472
511,-0.920034
512,1.61433
513,1.11002
514,-2.05563
515,1.09811
516,-0.388721
517,-0.537999
518,-0.429104
519,-0.739729
520,0.648874
521,-1.7772
522,1.07764
523,-0.499269
524,-0.400089
525,1.2867
526,-1.57018
527,2.21728
528,-1.07365
529,0.0399107
530,0.270833
531,-1.50683
532,1.29739
533,-1.12119
534,-1.54595
535,1.34239
536,-2.08405
537,1.56967
538,-0.90788
539,0.483841
540,0.122132
541,0.382494
542,0.830574
543,-0.813878
544,0.0167129
545,0.519958
546,-1.37178
547,1.72028
548,-1.33672
549,0.345172
550,-0.15262
551,-0.842809
552,1.76833
553,-2.05363
554,2.69254
555,-1.24182
556,0.294633
557,1.1281
558,-0.304402
559,-0.159295
560,-0.0322604
561,-0.522271
562,0.847034
563,-0.755566
564,-0.0373784
565,-1.28691
566,1.88703
567,-0.462902
568,-1.03542
569,1.45262
570,-0.687036
571,0.492106
572,1.03855
573,-0.267016
574,0.2818
575,-1.13081
576,0.498945
577,0.093597
578,-1.01651
579,1.07431
580,-1.49791
581,0.92144
582,0.130105
583,0.0937571
584,-0.241989
585,0.611387
586,0.0508731
587,0.277292
588,0.113557
589,-0.198426
590,-0.850681
591,0.910222
592,-1.08183
593,-0.185162
594,-0.73409
595,-0.712871
596,0.0463299
597,0.0651041
598,-0.371436
599,0.124537
600,0.24645
601,0.171306
602,1.16931
603,-0.964171
604,0.971014
605,-0.51551
606,-0.569558
607,0.46529
608,-0.214693
609,-1.56108
610,1.24991
611,-1.39213
612,0.461843
613,0.255561
614,-0.254035
615,-0.0778559
616,1.10188
617,0.280765
618,-0.695545
619,0.363392
620,-0.168608
621,-0.688455
622,-0.14689
623,0.0955219
624,-1.26322
625,1.14312
626,-0.238791
627,0.985266
628,-0.757924
629,1.18964
630,-0.417682
631,0.207101
632,1.02053
633,0.110737
634,-1.33946
635,1.80848
636,-1.68762
637,1.06216
638,-1.21913
639,-0.474725
640,0.0438801
641,0.121297
642,0.0825083
643,-0.0593713
644,0.386589
645,0.527957
646,-0.698289
647,1.67314
648,-1.47567
649,-0.0919795
650,0.0785729
651,-1.1717
652,0.994175
653,-1.99451
654,0.581032
655,-0.208733
656,-0.756265
657,0.933416
658,0.475623
659,-0.760692
660,1.44898
661,-0.721492
662,1.54392
663,-1.11734
664,-0.00754714
665,-0.756586
666,0.719716
667,-0.393363
668,-0.655354
669,0.269173
670,0.131792
671,-0.495364
672,0.644196
673,0.00257368
674,0.318038
675,0.643409
676,0.601098
677,0.614246
678,-1.39224
679,1.16834
680,-0.966643
681,0.146353
682,0.170279
683,-0.257261
684,-0.53595
685,0.921576
686,-0.834892
687,0.284511
688,0.784939
689,-0.601803
690,0.237138
691,1.62551
692,-0.314493
693,-0.7442
694,0.251369
695,-0.112109
696,-0.456274
697,0.887463
698,-1.2898
699,0.0109824
700,0.0761438
701,-0.558806
702,1.17008
703,-0.532222
704,1.47328
705,-0.295817
706,0.407208
707,0.6361
708,0.0964669
709,-0.959236
710,1.24664
711,-1.17979
712,0.765374
713,-0.972243
714,-0.390608
715,-0.401643
716,0.536712
717,-0.364134
718,0.0506773
719,0.490382
720,0.0726683
721,0.585607
722,0.151684
723,0.0658478
724,-0.435242
725,-0.105758
726,-0.512458
727,0.486256
728,-1.69956
729,1.28413
730,-0.825252
731,0.45168
732,0.356857
733,0.512714
734,-0.212632
735,0.58598
736,0.527641
737,0.2084
738,0.0325293
739,0.334885
740,-1.17677
741,1.75912
742,-1.92328
743,-0.392972
744,-0.0775079
745,-0.75157
746,0.627172
747,-0.0293121
748,0.95198
749,-0.226744
750,1.14441
751,0.879692
752,-1.18197
753,-1.67686
754,-0.362557
755,-3.09008
756,-2.63672
757,-2.61582
758,-1.64241
759,-3.48248
760,-0.939221
761,-2.88243
762,-1.98727
763,-2.15752
764,-2.84197
765,-2.15832
766,-0.509503
767,-3.76055
768,-1.62361
769,-2.31916
770,-1.78503
771,-1.33043
772,-1.96514
773,-0.690198
774,-1.27654
775,0.453131
776,-0.239769
777,0.499626
778,0.238811
779,0.35653
780,0.310405
781,0.511225
782,-0.519109
783,1.3899
784,-1.69055
785,2.11938
786,-1.14852
787,0.442592
788,0.60885
789,-0.807729
790,0.497047
791,0.690421
