sample,mean_class0,mean_class1
0,580.553,416.993
1,1254.7,1450.84
2,2242.95,2109.84
3,3258.1,3309.78
4,11424.5,11664
5,-10072.7,-10458.9
6,-7784.81,-7493.61
7,5812.36,5802.06
8,3259.53,3396.66
9,-8943.56,-9200.54
10,-8359.88,-8326.13
11,-329.866,-227.325
12,7857.92,7827.43
13,1041.45,1037.47
14,-6217.28,-6398.19
15,9496.2,9696.47
16,5688.16,5680.11
17,-3384.75,-3533.73
18,-3131.28,-3059.91
19,-5337.8,-5348.79
20,5024.38,5170.87
21,2499.2,2482.61
22,-4415.58,-4500.12
23,-3359.2,-3205.44
24,-1854.99,-1955.76
25,-2327.36,-2319.03
26,-1311.7,-1267.39
27,4674.78,4580.53
28,1038.33,1050.69
29,-1418.96,-1589.81
30,8.09486,49.4035
31,3135.07,3125.89
32,3710.4,3686.95
33,-189.723,-132.75
34,-2861.28,-2893.04
35,-3255.57,-3175.47
36,-1381.02,-1357.56
37,-1185.64,-1176.53
38,1057.73,1120.91
39,-578.783,-694.845
40,-3150.84,-3103.18
41,94.4401,22.2834
42,-424.221,-442.213
43,-840.095,-846.165
44,185.676,183.449
45,961.855,965.7
46,512.084,401.965
47,67.4572,114.267
48,2350.97,2348.31
49,2381.74,2410.06
50,339.563,346.861
51,-1500.33,-1432.87
52,-2199.78,-2191.63
53,-1690.14,-1658.04
54,-875.426,-930.03
55,-307.605,-249.522
56,-451.373,-600.788
57,-945.834,-978.483
58,-314.35,-327.946
59,253.049,233.371
60,875.426,876.826
61,-557.196,-583.169
62,1012.45,1100.7
63,-407.357,-439.536
64,438.387,493.085
65,250.35,233.198
66,2572.82,2611.91
67,2621.55,2684.46
68,847.768,745.976
69,-1125.69,-1069.6
70,-1560.71,-1556.38
71,-669.175,-785.274
72,-87.7787,-47.2443
73,-275.816,-355.843
74,-342.092,-364.308
75,231.378,133.355
76,626.762,727.579
77,865.56,768.777
78,935.041,993.943
79,475.32,534.715
80,286.271,290.893
81,-420.764,-418.03
82,115.267,142.51
83,982.43,975.201
84,330.119,316.027
85,145.792,112.885
86,-401.623,-425.544
87,-1024.93,-1002.15
88,-1201.41,-1257.37
89,-1522.68,-1517.86
90,-1112.2,-1178
91,-1179.99,-1107.35
92,-577.939,-631.881
93,107.341,169.63
94,483.668,548.707
95,690.93,708.232
96,533.671,525.646
97,79.0092,166.435
98,-74.8775,-141.56
99,-82.1291,-44.3941
100,-260.806,-381.409
101,-294.619,-268.696
102,-190.735,-298.321
103,-198.155,-206.337
104,-402.045,-434.44
105,-533.502,-550.003
106,-507.278,-478.229
107,-796.754,-843.574
108,-936.474,-831.136
109,-745.486,-722.829
110,50.8458,42.3212
111,534.514,576.95
112,562.509,581.528
113,857.971,858.516
114,706.277,694.413
115,484.596,408.702
116,165.439,139.055
117,-87.1884,-74.278
118,-122.856,-193.987
119,-621.618,-672.475
120,-360.474,-354.03
121,-288.548,-335.028
122,-534.598,-521.76
123,-172.943,-119.277
124,40.7273,45.776
125,159.789,157.538
126,777.781,868.88
127,2024.56,2023.82
128,-261.481,-315.163
129,1448.73,1446
130,1549.83,1521.06
131,2785.9,2720.73
132,1782.39,1749.68
133,2136.45,2160.28
134,1285.31,1205.46
135,1072.91,1147.25
136,1045.75,1025.21
137,1028.97,1082.65
138,1067.68,1107.52
139,1125.78,1101.73
140,1134.04,1162.11
141,1143.74,1126.26
142,917.671,1002.06
143,1059.33,969.673
144,621.787,699.25
145,703.325,660.124
146,747.426,596.297
147,269.238,346.429
148,330.034,233.371
149,542.44,522.537
150,367.726,350.748
151,334.672,384
152,-326.661,-295.903
153,-693.291,-661.765
154,-1090.7,-1068.74
155,-1092.55,-1052.59
156,-832.337,-901.787
157,-734.018,-670.057
158,-536.2,-600.356
159,-382.314,-350.748
160,-224.97,-268.437
161,-55.5679,-113.144
162,-137.781,-59.6815
163,-58.0132,-156.416
164,-112.485,-107.53
165,-46.2925,-67.973
166,110.04,80.4966
167,143.852,235.876
168,418.825,356.534
169,222.44,326.046
170,28.1634,40.5074
171,2.78261,-61.4953
172,-270.166,-155.725
173,-154.055,-305.144
174,-68.5534,7.34143
175,210.719,53.031
176,516.132,549.139
177,698.435,713.242
178,857.549,778.969
179,860.922,920.702
180,688.569,674.807
181,563.267,527.115
182,203.215,286.489
183,197.312,157.711
184,-20.0685,32.7341
185,968.095,988.934
186,-236.269,-271.46
187,1235.98,1385.63
188,455.673,307.822
189,367.389,502.499
190,-1015.23,-1196.48
191,917.418,929.684
192,2252.9,2321.27
193,1532.88,1319.56
194,39.1252,140.005
195,516.638,467.606
196,1243.4,1213.67
197,1524.7,1670.31
198,1491.82,1406.62
199,1065.06,1219.54
200,720.021,573.409
201,47.8946,164.534
202,477.85,432.799
203,770.192,693.549
204,297.318,402.742
205,717.66,549.657
206,56.664,78.942
207,201.528,193.9
208,344.285,315.682
209,-191.157,-173.344
210,228.764,164.189
211,234.667,293.312
212,259.626,298.235
213,311.399,311.449
214,29.7655,103.644
215,411.573,327.082
216,129.265,263.341
217,155.657,135.687
218,-64.6746,-120.399
219,-505.76,-424.421
220,-280.538,-464.238
221,-294.619,-316.977
222,-30.2714,-29.2794
223,39.6311,-52.2537
224,-3.03557,64.691
225,35.8366,-45.6032
226,-12.1423,79.1147
227,108.69,110.64
228,27.6574,59.7679
229,46.7141,83.1741
230,238.883,188.113
231,313.001,362.839
232,450.277,415.266
233,477.007,491.271
234,401.286,394.537
235,403.141,345.738
236,138.119,186.645
237,85.8393,47.6761
238,74.8775,9.50068
239,43.9315,75.0553
240,208.78,166.175
241,202.962,235.271
242,335.178,435.822
243,489.655,484.88
244,110.208,239.417
245,550.029,511.741
246,404.659,410.947
247,124.796,131.023
248,365.281,313.35
249,631.315,643.455
250,1270.13,1096.81
251,2071.95,2203.47
252,3687.63,3728.93
253,1711.05,1826.89
254,3740.08,3985.62
255,4061.51,4249.22
256,5158.87,5472.39
257,4290.19,4556.44
258,4662.39,4934.22
259,4129.48,4374.46
260,4632.71,4910.81
261,5149.34,5463.41
262,5525.42,5796.02
263,5396.15,5682.44
264,5305.34,5532.5
265,4865.77,5026.72
266,4405.88,4670.45
267,4039.17,4285.5
268,3738.65,3857.1
269,3047.88,3333.79
270,2745.59,2878.7
271,2354.51,2460.5
272,1485.41,1727.57
273,964.132,985.047
274,804.258,917.333
275,440.495,375.018
276,347.152,499.649
277,2.361,-71.2551
278,-3.20422,12.9555
279,-133.397,-165.657
280,-129.939,-183.277
281,-160.126,-174.381
282,-329.36,-372.081
283,-547.415,-629.031
284,-731.657,-713.587
285,-718.166,-819.563
286,-569.17,-517.096
287,-510.735,-422.521
288,-249.086,-312.227
289,-177.581,-77.2146
290,48.4848,-20.4696
291,196.3,311.536
292,420.174,393.414
293,736.042,720.237
294,955.868,1001.46
295,1203.94,1182.06
296,1543.25,1600.69
297,1698.15,1800.29
298,1851.45,1861.87
299,1970.59,2170.04
300,1990.91,1900.14
301,1868.9,2175.74
302,1963.93,2022.09
303,1880.54,2006.8
304,1955.92,2122.36
305,1897.74,1954.72
306,2053.23,2232.92
307,1985.26,2022.78
308,1873.45,2048
309,1718.39,1759.87
310,2542.04,2586.86
311,1334.56,1472.09
312,2948.72,3035.55
313,2100.7,2189.3
314,2322.89,2461.62
315,870.451,858.256
316,2854.62,3126.5
317,4263.88,4379.64
318,3176.22,3289.31
319,1563.91,1725.93
320,1695.79,1753.39
321,2415.81,2546.96
322,2726.96,2782.4
323,2698.03,2833.27
324,2716.58,2750.36
325,2368.25,2381.99
326,1963.17,2214.69
327,2370.95,2365.93
328,2541.79,2700.61
329,2107.03,2184.38
330,2192.36,2273.86
331,1651.18,1824.3
332,1736.6,1807.46
333,1897.99,2099.56
334,1463.48,1528.14
335,1664.76,1795.89
336,1605.31,1721.95
337,1353.61,1403.25
338,1119.87,1205.12
339,826.266,781.733
340,1004.27,1015.88
341,976.358,1084.72
342,1020.63,1066.41
343,993.56,1024.6
344,762.941,907.919
345,827.447,803.498
346,836.3,948.081
347,909.744,972.696
348,833.686,875.012
349,796.754,894.273
350,755.183,726.024
351,883.099,1062.18
352,1046.51,1028.15
353,997.439,1100.96
354,1144.24,1123.5
355,1106.13,1143.45
356,1213.98,1249.17
357,1143.48,1135.16
358,1188.34,1327.16
359,1259.93,1284.49
360,1334.3,1432.96
361,1410.11,1595.77
362,1465.42,1562.08
363,1529.17,1681.01
364,1540.89,1558.37
365,1477.57,1558.8
366,1467.95,1535.14
367,1430.01,1515.88
368,1493.59,1533.32
369,1196.1,1215.14
370,1531.87,1633.77
371,1612.06,1607.17
372,1169.71,1271.02
373,1472.17,1519.5
374,1673.02,1725.67
375,2327.95,2372.49
376,4095.33,4300.35
377,6902.72,7097.52
378,5175.99,5447.34
379,6335.16,6733.82
380,6260.79,6723.71
381,7676.29,8113.49
382,6542.59,6945.86
383,6819.58,7161.52
384,6542.84,6872.79
385,7163.53,7569.88
386,7579.74,8001.3
387,7659.68,8139.66
388,7582.02,8064.43
389,7349.46,7822.42
390,6739.14,7158.41
391,6167.1,6649.44
392,5735.8,6173.19
393,5289.32,5588.04
394,4291.71,4657.14
395,3917.24,4230.74
396,3594.96,3739.38
397,2635.55,2965.33
398,2042.35,2088.08
399,1759.45,1935.63
400,1323,1334.84
401,1237,1387.88
402,816.738,789.592
403,672.464,729.565
404,385.096,391.773
405,309.207,339.174
406,334.25,397.733
407,167.631,208.756
408,42.498,103.816
409,63.4941,47.3306
410,96.2108,134.564
411,398.925,388.146
412,428.1,500.34
413,682.329,627.995
414,922.308,914.656
415,1118.95,1126.26
416,1472.67,1539.37
417,1696.46,1794.59
418,2086.2,2132.56
419,2309.23,2470.61
420,2462.36,2594.55
421,2879.66,3033.39
422,2906.48,3150.08
423,3081.19,3198.27
424,3242.92,3522.59
425,3326.57,3433.03
426,3445.46,3762.27
427,3499.68,3673.13
428,3544.28,3660.87
429,3575.57,3772.89
430,3447.99,3599.37
431,3506.93,3698.09
432,3304.47,3485.28
433,3183.47,3436.14
434,3021.41,3178.15
435,3792.95,4064.3
436,2656.72,2922.93
437,4174,4429.21
438,3426.49,3592.29
439,3502.71,3779.89
440,2092.44,2178.07
441,4121.04,4360.64
442,5429.04,5673.37
443,4549.4,4628.9
444,2932.79,3169.17
445,3199.33,3366.26
446,3932.42,4106.62
447,4163.37,4366.68
448,4155.11,4324.19
449,3991.95,4199.64
450,3605.42,3784.03
451,3145.53,3522.85
452,3502.55,3626.32
453,3745.9,4033.38
454,3272.09,3494.09
455,3450.35,3626.93
456,2925.45,3142.13
457,2924.86,3035.72
458,3116.61,3321.95
459,2582.68,2654.14
460,2753.77,2956.78
461,2692.3,2890.36
462,2437.73,2603.1
463,2220.94,2446.86
464,1910.47,1973.72
465,2042.1,2258.48
466,2013.68,2181.18
467,1901.2,2032.19
468,1867.72,1992.64
469,1553.45,1695.96
470,1607.67,1767.73
471,1742.42,1836.65
472,1771.51,1902.47
473,1906.26,1932.18
474,1846.81,1899.18
475,1807.01,1878.02
476,1949.01,2079.87
477,1985.86,2072.53
478,1986.78,2159.85
479,2061.49,2105.35
480,2023.88,2311.77
481,2285.28,2374.22
482,2126.92,2324.38
483,2377.87,2525.8
484,2302.9,2422.59
485,2416.15,2589.54
486,2497.77,2625.04
487,2369.01,2534.52
488,2601.23,2682.65
489,2439.67,2582.11
490,2521.8,2663.99
491,2530.15,2627.71
492,2439.67,2653.02
493,2622.23,2703.72
494,2208.63,2356.08
495,2531.75,2790.52
496,2541.79,2578.05
497,1997.41,2313.67
498,2438.49,2488.66
499,2541.45,2765.13
500,3361.31,3459.54
501,5042.17,5306.99
502,7499.97,8001.55
503,5783.86,6390.41
504,7301.73,8334.77
505,7944.6,9046.71
506,9025.18,10247.9
507,7631.52,8789.07
508,8234.16,9231.72
509,7874.28,9017.44
510,8333.91,9563.81
511,8780.56,9926.82
512,9093.99,10475.6
513,9093.99,10320
514,8643.04,10028
515,8264.26,9357.99
516,7625.53,8832.09
517,7107.12,8209.1
518,6701.36,7492.06
519,5614.12,6599.51
520,5352.9,6007.54
521,4791.74,5378.25
522,3758.46,4430.16
523,3156.57,3491.67
524,2717.34,3186.44
525,2300.29,2524.33
526,2087.04,2395.12
527,1642.41,1802.62
528,1543.08,1572.71
529,1221.82,1364.04
530,1348.13,1299.52
531,1158.91,1201.14
532,1045.84,998.78
533,916.996,822.758
534,762.097,818.267
535,897.012,778.969
536,1046.94,1052.33
537,1158.83,1243.98
538,1445.69,1358.16
539,1549.41,1717.29
540,1908.19,1959.64
541,2087.38,2332.42
542,2419.69,2664.77
543,2812.96,2972.33
544,3030.51,3465.85
545,3422.02,3649.55
546,3683.92,4110.08
547,3948.02,4320.91
548,4047.01,4409
549,4264.81,4816.58
550,4348.04,4700.42
551,4259.25,4955.55
552,4435.9,4917.03
553,4349.72,4916.25
554,4388.93,5065.41
555,4385.81,4910.64
556,4323.58,4964.79
557,4315.07,4832.82
558,4052.15,4692.56
559,3988.74,4498.57
560,4805.23,5316.84
561,3516.88,4119.67
562,5186.78,5667.58
563,4312.62,4830.92
564,4538.35,5072.76
565,3048.73,3483.64
566,4970.41,5594.26
567,6421.25,6949.66
568,5337.89,5865.98
569,3775.33,4396.31
570,3973.99,4557.73
571,4677.73,5258.97
572,4986.1,5574.91
573,4921,5510.13
574,4948.24,5459.43
575,4559.18,5035.27
576,4060.67,4730.21
577,4544.84,4914.35
578,4596.79,5203.17
579,4283.19,4760.36
580,4261.52,4810.36
581,3786.12,4307.61
582,3798.01,4284.46
583,3894.05,4443.9
584,3414.43,3886.29
585,3566.88,4078.9
586,3475.98,3960.23
587,3248.82,3670.72
588,2941.64,3418.34
589,2709.16,3044.88
590,2857.23,3223.41
591,2759.59,3129.78
592,2792.22,3062.24
593,2623.58,2923.79
594,2489.59,2804.43
595,2374.07,2666.93
596,2507.3,2756.15
597,2512.36,2872.83
598,2480.48,2759.43
599,2525.85,2873.61
600,2418.85,2707.17
601,2573.49,2947.2
602,2707.65,2984.94
603,2660.26,2984.85
604,2834.13,3122.27
605,2756.47,3159.49
606,2990.88,3239.21
607,2915.33,3238.61
608,3010.53,3390.1
609,3139.71,3464.38
610,3089.03,3478.28
611,3273.44,3604.56
612,3120.48,3575.1
613,3259.36,3584.95
614,3203.96,3651.37
615,3139.54,3529.33
616,3189.21,3612.93
617,3095.86,3583.14
618,3266.53,3593.16
619,2928.91,3358.06
620,3248.99,3645.93
621,3309.53,3577.95
622,2818.28,3198.79
623,3151.68,3433.46
624,3311.39,3730.31
625,3800.71,4099.54
626,4962.23,5489.14
627,7210.84,7865.35
628,5730.07,6501.14
629,6921.7,8003.71
630,6800.44,7843.84
631,8065.85,9237.42
632,7067.07,8072.98
633,7325.6,8329.93
634,6921.36,7891.43
635,7512.88,8585.93
636,7976.73,9068.74
637,8138.62,9215.14
638,8022.51,9169.88
