sample,mean0_minus_mean1
0,163.56
1,-196.136
2,133.11
3,-51.6785
4,-239.515
5,386.155
6,-291.197
7,10.3018
8,-137.133
9,256.982
10,-33.752
11,-102.54
12,30.4854
13,3.98096
14,180.911
15,-200.274
16,8.05029
17,148.985
18,-71.3699
19,10.9912
20,-146.492
21,16.5913
22,84.5454
23,-153.758
24,100.769
25,-8.32861
26,-44.3148
27,94.2485
28,-12.3536
29,170.847
30,-41.3086
31,9.17773
32,23.4451
33,-56.973
34,31.7612
35,-80.0969
36,-23.457
37,-9.11523
38,-63.1782
39,116.062
40,-47.6611
41,72.1567
42,17.9919
43,6.06982
44,2.2265
45,-3.84528
46,110.119
47,-46.81
48,2.65942
49,-28.3176
50,-7.2984
51,-67.4575
52,-8.14575
53,-32.0991
54,54.6041
55,-58.0825
56,149.415
57,32.6492
58,13.5956
59,19.6776
60,-1.40039
61,25.9724
62,-88.2485
63,32.1787
64,-54.6977
65,17.1521
66,-39.0913
67,-62.9041
68,101.792
69,-56.0884
70,-4.32288
71,116.099
72,-40.5344
73,80.0279
74,22.2155
75,98.0232
76,-100.817
77,96.7826
78,-58.9025
79,-59.3951
80,-4.62198
81,-2.73447
82,-27.2427
83,7.22845
84,14.0916
85,32.9065
86,23.9207
87,-22.7791
88,55.9587
89,-4.81494
90,65.797
91,-72.6479
92,53.9418
93,-62.289
94,-65.0392
95,-17.3019
96,8.02417
97,-87.4253
98,66.6826
99,-37.7351
100,120.603
101,-25.9229
102,107.586
103,8.18192
104,32.3951
105,16.5007
106,-29.0486
107,46.8199
108,-105.338
109,-22.6575
110,8.52466
111,-42.4362
112,-19.0191
113,-0.544495
114,11.8637
115,75.8938
116,26.3834
117,-12.9104
118,71.1301
119,50.8571
120,-6.44461
121,46.4803
122,-12.8384
123,-53.6667
124,-5.04871
125,2.25073
126,-91.0986
127,0.742188
128,53.6824
129,2.72461
130,28.7708
131,65.1631
132,32.7085
133,-23.8276
134,79.8494
135,-74.3431
136,20.5457
137,-53.67
138,-39.8411
139,24.0432
140,-28.0657
141,17.4746
142,-84.3915
143,89.6573
