projection,true_label,pred
11.7124,0,0
-10.7708,1,1
-8.72654,1,1
-13.3222,1,1
12.5989,1,0
-17.4686,0,1
-9.96214,1,1
13.332,0,0
-9.33325,0,1
-16.2965,1,1
-2.99893,1,1
10.8389,0,0
12.2613,0,0
13.5771,1,0
-11.7177,0,1
11.8341,0,0
-7.53396,0,1
-6.3517,0,1
-14.3602,0,1
-4.61344,1,1
-12.5107,1,1
-1.72316,1,1
11.5547,1,0
13.4261,0,0
13.4702,1,0
-6.98541,1,1
-1.19051,1,1
-15.0479,0,1
11.3207,1,0
-12.6119,1,1
12.7597,0,0
12.728,0,0
-19.4144,1,1
13.7184,0,0
12.1605,0,0
12.2133,0,0
-5.08467,1,1
-4.93927,1,1
-9.65933,0,1
-12.097,1,1
-10.4686,1,1
-4.05603,1,1
-6.24276,1,1
11.8988,0,0
-17.4589,0,1
-14.1507,1,1
-16.1961,1,1
-15.913,1,1
11.5434,0,0
0.0454464,1,0
12.5685,0,0
0.163092,0,0
12.7564,0,0
12.4342,0,0
13.3221,0,0
-4.14976,1,1
12.4692,0,0
12.3141,0,0
-11.8847,1,1
11.8332,0,0
-9.50272,1,1
12.7764,0,0
-7.2459,0,1
-7.1581,1,1
-9.14375,1,1
11.7042,0,0
2.02556,1,0
-4.78338,1,1
11.1908,1,0
13.364,1,0
12.9036,0,0
-4.46503,0,1
-15.3838,0,1
12.5009,0,0
13.1393,1,0
12.6889,0,0
-12.4276,1,1
-10.5207,1,1
12.8128,1,0
-10.7455,1,1
12.7506,0,0
-6.41757,1,1
13.0293,0,0
-5.15223,1,1
-12.2706,0,1
-4.91996,1,1
13.2118,0,0
12.3014,0,0
12.2833,1,0
11.0589,1,0
-1.65168,1,1
-13.1964,1,1
-11.4729,1,1
-12.9249,1,1
11.8813,0,0
11.9416,0,0
-8.37388,1,1
12.5441,0,0
-16.3,0,1
-7.46221,0,1
12.1879,0,0
11.9267,1,0
12.5713,0,0
11.894,0,0
-2.70928,1,1
-12.288,0,1
-6.24714,1,1
13.0687,0,0
-9.96169,1,1
11.9973,0,0
11.4841,0,0
-14.1655,1,1
12.1916,0,0
13.5261,1,0
-7.61848,0,1
12.9499,0,0
-5.60962,1,1
-10.8386,0,1
12.1409,1,0
11.8279,0,0
11.5602,0,0
-12.3585,1,1
-15.9221,0,1
11.6094,0,0
-9.63034,1,1
-8.0965,1,1
-12.4567,1,1
11.9504,0,0
-10.9357,1,1
-10.5326,1,1
13.2117,0,0
11.7782,0,0
-9.4658,1,1
11.5616,0,0
-10.5793,1,1
11.9411,0,0
12.4539,0,0
12.2636,0,0
-3.42355,1,1
-8.79902,0,1
-16.038,0,1
12.6164,1,0
-12.4624,0,1
-9.64078,0,1
-4.90551,0,1
-11.5619,1,1
-12.8357,1,1
-8.84665,1,1
-3.91341,1,1
-11.6865,1,1
12.9731,0,0
12.4806,0,0
12.9313,0,0
-7.44208,1,1
-8.58652,0,1
-6.05181,1,1
-3.32354,0,1
11.214,1,0
11.9287,1,0
-12.4529,1,1
12.4479,1,0
13.4564,1,0
-19.5259,1,1
-11.0226,1,1
-5.48981,1,1
-1.57855,1,1
-10.3606,1,1
-13.5594,0,1
13.1168,0,0
12.719,1,0
-8.51286,1,1
12.4999,0,0
12.3784,1,0
-11.0325,0,1
-13.0862,0,1
-8.47805,0,1
-8.84659,1,1
-8.3649,1,1
13.2663,0,0
12.3475,0,0
13.1614,0,0
-13.8809,1,1
-12.4475,1,1
12.6865,0,0
12.217,0,0
13.1528,0,0
12.1428,1,0
12.1663,0,0
11.4114,0,0
12.4458,0,0
11.7764,1,0
13.0207,0,0
12.713,0,0
-9.64116,0,1
12.7952,0,0
1.91864,1,0
12.1913,0,0
12.7587,0,0
12.4982,0,0
-11.039,0,1
-15.971,1,1
12.7045,0,0
12.1032,0,0
-7.11869,0,1
-7.42216,0,1
11.728,0,0
-16.9608,1,1
-14.856,1,1
11.9987,0,0
11.7686,1,0
12.2398,0,0
-5.73026,1,1
-15.5762,1,1
-7.72973,1,1
-13.7997,0,1
-9.07123,1,1
12.3581,0,0
-10.1061,1,1
13.1441,0,0
12.7266,0,0
-7.61248,1,1
-12.7174,0,1
-16.1108,1,1
13.0359,0,0
12.318,0,0
-14.8609,0,1
-10.5464,1,1
11.7305,1,0
-8.62681,1,1
-8.51195,1,1
12.5739,0,0
12.4844,0,0
-7.35737,0,1
11.4644,0,0
-3.99327,1,1
-15.7584,1,1
11.6584,1,0
-16.5555,0,1
12.3642,0,0
-12.1126,1,1
11.8283,1,0
12.7894,0,0
-8.1342,1,1
-13.9866,1,1
-10.2894,1,1
-8.14335,1,1
-7.82442,1,1
12.8829,0,0
12.2656,1,0
12.3503,0,0
12.5664,0,0
12.8764,0,0
-8.63397,1,1
12.5335,0,0
13.249,0,0
-3.0632,1,1
-11.1853,1,1
11.7643,0,0
-10.2882,0,1
12.5107,0,0
-9.54906,1,1
-11.6976,0,1
12.5076,1,0
-9.83732,1,1
-4.85672,0,1
13.4485,0,0
-4.49196,0,1
-10.0019,1,1
13.8555,0,0
-3.95568,1,1
-16.0632,1,1
11.4185,1,0
-9.10801,0,1
13.4451,0,0
12.4291,1,0
12.044,0,0
12.366,0,0
-13.963,0,1
-4.87465,1,1
-7.33524,1,1
-14.9244,0,1
-7.96091,1,1
12.3486,1,0
-12.1632,1,1
11.9193,1,0
12.3182,1,0
-2.99478,1,1
-15.2981,0,1
12.6406,0,0
-9.60936,1,1
7.78432,1,0
-11.7207,0,1
12.3737,0,0
12.231,0,0
11.7918,0,0
-16.0471,1,1
-2.53512,1,1
12.5661,0,0
13.4893,1,0
-12.7395,1,1
-8.99193,1,1
-17.3937,1,1
13.2937,0,0
-9.25814,0,1
11.7722,0,0
12.9888,0,0
-5.659,1,1
-4.18493,1,1
13.1391,0,0
-11.4373,1,1
13.2461,1,0
-4.91476,1,1
13.307,0,0
-17.5012,0,1
-7.13524,0,1
-7.12939,1,1
11.544,0,0
12.0168,1,0
-9.90877,0,1
11.74,0,0
13.7171,0,0
12.8786,0,0
-9.27755,1,1
-9.42118,1,1
12.7691,0,0
-0.960087,1,1
-11.2031,1,1
12.2826,0,0
-7.59945,1,1
-0.4527,1,1
-6.91741,1,1
-11.3545,1,1
11.6772,0,0
12.1674,0,0
12.3259,0,0
-17.1299,1,1
-7.02705,0,1
0.678955,1,0
-3.67869,1,1
-11.678,1,1
-8.58465,1,1
-0.125555,1,1
-5.92273,1,1
-15.4994,0,1
12.3012,1,0
-15.3569,1,1
12.5031,0,0
13.4709,0,0
-8.98183,0,1
11.907,0,0
-13.4988,1,1
13.0425,0,0
11.6018,1,0
12.2164,0,0
-12.8095,1,1
-8.98476,1,1
-2.99519,1,1
-15.1582,1,1
12.2731,0,0
-8.73612,1,1
-12.779,1,1
12.6492,0,0
-9.093,1,1
11.7216,0,0
-10.8137,1,1
12.586,0,0
1.92835,1,0
11.9866,0,0
-17.8586,1,1
13.1133,0,0
11.8898,0,0
11.7018,1,0
-13.4228,1,1
-6.62142,1,1
11.1054,0,0
-16.3948,1,1
-11.8232,1,1
-12.5041,1,1
-7.48684,1,1
-13.4849,1,1
-0.341927,1,1
-10.2637,0,1
-5.17938,1,1
-9.46784,0,1
11.2463,1,0
12.9656,0,0
-8.47723,1,1
-12.2437,1,1
12.2954,0,0
-7.98707,1,1
-9.9046,1,1
13.1223,0,0
-11.0309,0,1
-14.3301,1,1
13.0236,1,0
-14.1051,0,1
12.7377,1,0
-4.3933,0,1
-15.3128,0,1
11.4933,0,0
12.1124,0,0
12.6599,0,0
-0.696823,1,1
-6.91389,1,1
12.665,0,0
13.582,0,0
12.4395,0,0
-11.1061,1,1
-17.4464,1,1
12.0981,0,0
-9.43223,1,1
12.1379,0,0
13.6124,1,0
-13.8089,0,1
-16.1982,1,1
13.1327,0,0
12.7335,1,0
12.7264,0,0
-14.3255,1,1
13.031,1,0
-7.73765,1,1
-7.91088,1,1
12.2056,1,0
13.3992,0,0
13.7015,0,0
-10.9613,1,1
12.4547,0,0
-1.1128,0,1
-10.8284,0,1
-3.87969,1,1
12.4557,0,0
-11.3504,1,1
-9.60601,1,1
-8.70643,0,1
-13.7451,0,1
10.7491,0,0
-6.02532,1,1
12.6665,0,0
-11.6222,1,1
-11.2018,1,1
12.669,0,0
12.5391,1,0
-18.5957,1,1
12.7016,0,0
-10.1236,1,1
12.5256,1,0
-10.0336,0,1
-13.4388,1,1
-14.4032,1,1
13.4185,0,0
-3.73658,1,1
-12.4043,1,1
-6.821,1,1
12.9029,0,0
-10.3221,1,1
12.4604,1,0
11.7933,1,0
-11.4305,1,1
11.3507,1,0
-9.50022,0,1
-13.7445,1,1
12.7797,0,0
-0.305805,1,1
-0.459074,1,1
12.1025,1,0
12.5113,0,0
11.9874,0,0
-18.0592,1,1
-8.89428,0,1
13.2292,0,0
12.4096,0,0
-15.2547,0,1
-7.44515,1,1
11.6643,0,0
-9.22793,1,1
11.9912,0,0
11.7904,1,0
11.971,0,0
-0.55521,1,1
-5.48497,1,1
-9.96189,0,1
-5.83626,1,1
12.4833,0,0
-7.1173,1,1
-16.6155,1,1
12.0899,1,0
-9.11846,1,1
-6.78612,1,1
12.6226,0,0
-12.6414,1,1
-1.16146,1,1
-3.03186,1,1
12.7756,0,0
-13.71,0,1
11.6199,1,0
-10.786,0,1
-13.5146,0,1
-13.4696,0,1
-8.59595,1,1
-10.391,0,1
