sample,welch_t
0,1.99452
1,-2.7759
2,1.76833
3,-0.341846
4,-1.58174
5,1.01503
6,-0.852913
7,0.115883
8,-0.972898
9,1.42447
10,-0.234328
11,-0.686152
12,0.317657
13,0.016291
14,1.15229
15,-0.88487
16,0.029689
17,1.69642
18,-0.602651
19,0.0817239
20,-1.0901
21,0.100283
22,1.07614
23,-2.05469
24,1.30902
25,-0.101592
26,-0.363901
27,1.17445
28,-0.118103
29,2.42522
30,-0.514127
31,0.110716
32,0.296396
33,-0.581361
34,0.433101
35,-1.07543
36,-0.309368
37,-0.123539
38,-0.824651
39,1.18608
40,-0.626786
41,0.893507
42,0.228152
43,0.0836976
44,0.031136
45,-0.056079
46,1.5063
47,-0.620848
48,0.0340987
49,-0.370263
50,-0.0937516
51,-0.8887
52,-0.110144
53,-0.440996
54,0.742591
55,-0.822929
56,2.12728
57,0.447052
58,0.186975
59,0.27051
60,-0.0191789
61,0.352404
62,-1.17599
63,0.428121
64,-0.754396
65,0.227164
66,-0.533862
67,-0.85564
68,1.2763
69,-0.775109
70,-0.0607992
71,1.59444
72,-0.554821
73,1.11281
74,0.306044
75,1.34578
76,-1.41348
77,1.36671
78,-0.809897
79,-0.83484
80,-0.0619076
81,-0.0386066
82,-0.365934
83,0.100285
84,0.201101
85,0.46092
86,0.339437
87,-0.31618
88,0.788161
89,-0.0673181
90,0.933161
91,-1.01847
92,0.760489
93,-0.853982
94,-0.918479
95,-0.240266
96,0.109987
97,-1.16043
98,0.907454
99,-0.526095
100,1.69135
101,-0.359042
102,1.4888
103,0.11545
104,0.466773
105,0.235739
106,-0.410893
107,0.651675
108,-1.47448
109,-0.317201
110,0.119891
111,-0.590402
112,-0.259812
113,-0.00725105
114,0.163799
115,1.06988
116,0.370809
117,-0.180683
118,1.00293
119,0.718787
120,-0.0939202
121,0.662162
122,-0.170306
123,-0.641118
124,-0.0606553
125,0.0276185
126,-1.27138
127,0.0100071
128,0.671792
129,0.0311435
130,0.384706
131,0.893818
132,0.451149
133,-0.34165
134,1.09164
135,-1.04544
136,0.290261
137,-0.748264
138,-0.530845
139,0.322035
140,-0.385382
141,0.24295
142,-1.19745
143,1.25635
144,-1.10835
145,0.626347
146,2.11817
147,-1.04958
148,1.34741
149,0.274351
150,0.233093
151,-0.672538
152,-0.426445
153,-0.441695
154,-0.297253
155,-0.540291
156,0.954819
157,-0.891985
158,0.889878
159,-0.435923
160,0.612695
161,0.818417
162,-1.0919
163,1.35904
164,-0.069056
165,0.309039
166,0.411267
167,-1.30701
168,0.888672
169,-1.47047
170,-0.173939
171,0.891771
172,-1.57857
173,2.06683
174,-1.01981
175,2.23403
176,-0.462509
177,-0.206492
178,1.08034
179,-0.82095
180,0.189103
181,0.474162
182,-1.11239
183,0.552739
184,-0.719207
185,-0.277435
186,0.4676
187,-1.97404
188,1.97715
189,-1.69077
190,2.43193
191,-0.16131
192,-0.948537
193,2.75779
194,-1.39614
195,0.661372
196,0.405946
197,-1.9741
198,1.18437
199,-2.09831
200,2.00109
201,-1.62063
202,0.630056
203,1.08054
204,-1.42922
205,2.29108
206,-0.31187
207,0.10774
208,0.401977
209,-0.244889
210,0.919845
211,-0.827599
212,-0.540932
213,-0.000688014
214,-1.03076
215,1.18899
216,-1.8801
217,0.280896
218,0.772865
219,-1.13553
220,2.64223
221,0.313034
222,-0.0135789
223,1.28434
224,-0.972125
225,1.1723
226,-1.29943
227,-0.0274389
228,-0.44427
229,-0.508933
230,0.714265
231,-0.686463
232,0.484295
233,-0.201496
234,0.0925479
235,0.793656
236,-0.684283
237,0.532536
238,0.911114
239,-0.432816
240,0.600349
241,-0.451825
242,-1.40055
243,0.0651625
244,-1.78783
245,0.533936
246,-0.0880728
247,-0.0800656
248,0.647492
249,-0.157034
250,2.07728
251,-1.81203
252,-0.560493
253,-1.49409
254,-2.78466
255,-2.39774
256,-3.84482
257,-3.50993
258,-3.6649
259,-3.16057
260,-3.58199
261,-3.95969
262,-3.39552
263,-3.55856
264,-2.88281
265,-2.02721
266,-3.43313
267,-3.25798
268,-1.5698
269,-3.86007
270,-1.79935
271,-1.42613
272,-3.20526
273,-0.286685
274,-1.57162
275,0.914542
276,-2.09424
277,1.02042
278,-0.230329
279,0.458077
280,0.75098
281,0.19625
282,0.594012
283,1.15217
284,-0.257202
285,1.401
286,-0.716433
287,-1.24701
288,0.869783
289,-1.3668
290,0.97385
291,-1.66057
292,0.377957
293,0.213452
294,-0.624136
295,0.300771
296,-0.817848
297,-1.42243
298,-0.141461
299,-2.75391
300,1.22236
301,-4.21446
302,-0.806782
303,-1.69834
304,-2.19533
305,-0.778856
306,-2.50146
307,-0.512317
308,-2.37814
309,-0.556388
310,-0.590638
311,-1.85533
312,-1.18801
313,-1.1909
314,-1.73973
315,0.164793
316,-3.56451
317,-1.63343
318,-1.39436
319,-2.15235
320,-0.747893
321,-1.77925
322,-0.756394
323,-1.88207
324,-0.45742
325,-0.181582
326,-3.48116
327,0.069045
328,-2.16572
329,-1.06716
330,-1.08367
331,-2.30199
332,-0.988978
333,-2.73809
334,-0.877341
335,-1.743
336,-1.56643
337,-0.679725
338,-1.19104
339,0.60996
340,-0.155654
341,-1.47438
342,-0.632122
343,-0.416817
344,-2.02173
345,0.324536
346,-1.49533
347,-0.853925
348,-0.564256
349,-1.35293
350,0.400196
351,-2.40924
352,0.252263
353,-1.46119
354,0.285391
355,-0.526714
356,-0.492758
357,0.121011
358,-1.99742
359,-0.345714
360,-1.36178
361,-2.53755
362,-1.34534
363,-2.1098
364,-0.248545
365,-1.1111
366,-0.910953
367,-1.19346
368,-0.562626
369,-0.266486
370,-1.42607
371,0.0670257
372,-1.33159
373,-0.584312
374,-0.683481
375,-0.515798
376,-2.74207
377,-2.45306
378,-3.32767
379,-4.63839
380,-5.82551
381,-5.45674
382,-5.1403
383,-4.6258
384,-4.33917
