sample,mean0_minus_mean1
0,138.574
1,194.624
2,118.934
3,-18.4607
4,2.9101
5,83.1498
6,7.7813
7,29.0948
8,-129.682
9,62.4797
10,-42.4322
11,54.2509
12,1.69159
13,62.3069
14,-45.0209
15,17.1693
16,19.7449
17,1.55701
18,-33.3086
19,-35.2001
20,41.7851
21,99.2357
22,8.09476
23,-188.25
24,-0.705811
25,74.0026
26,38.0832
27,-33.2095
28,-25.352
29,92.9721
30,-24.7875
31,-283.748
32,-1194.68
33,-1099.67
34,-195.057
35,140.245
36,-86.7628
37,-411.814
38,-491.511
39,-434.659
40,-607.651
41,-455.994
42,-345.282
43,-269.266
44,-202.021
45,-352.022
46,-336.692
47,-1442.71
48,-2107.47
49,-1542.83
50,-217.015
51,5.46747
52,-470.28
53,-1114.37
54,-979.691
55,-924.538
56,-952.738
57,-844.905
58,-707.701
59,-565.482
60,-610.335
61,-707.384
62,-940.091
63,-3338.25
64,-3587.93
65,-1492.32
66,-297.613
67,-465.13
68,-1425.86
69,-1768.53
70,-1612.21
71,-1796.3
72,-1719.2
73,-1345.72
74,-1090.09
75,-1071.94
76,-1186
77,-1223.45
78,-2160.5
79,-3037.04
80,-2666.42
81,-1301.04
82,-766.481
83,-1053.68
84,-1746.63
85,-1847.27
86,-1706.81
87,-1702.78
88,-1647.29
89,-1316.73
90,-1183.45
91,-1171.19
92,-1309.2
93,-1250.18
94,-2522.92
95,-2883.05
96,-1936.88
97,-1066.85
98,-847.826
99,-1325.18
100,-1676.73
101,-1660.58
102,-1543.17
103,-1604.67
104,-1412.57
105,-1199.79
106,-1049.7
107,-1206.79
108,-1249.14
109,-1270.82
110,-2092.84
111,-1980.15
112,-1317.39
113,-949.435
114,-851.452
115,-1203.35
116,-1383.44
117,-1304.47
118,-1202.77
119,-1173.33
120,-1127.81
121,-903.79
122,-852.177
123,-961.258
124,-1003.26
125,-1010.77
126,-1196.22
127,-1067.55
128,-864.396
129,-750.021
130,-696.94
131,-752.039
132,-800.285
133,-925.001
134,-805.469
135,-698.017
136,-601.765
137,-591.315
138,-664.795
139,-629.247
140,-472.172
141,-836.176
142,-930.233
143,-607.296
144,-444.996
145,-414.063
146,-487.798
147,-497.798
148,-628.99
149,-592.428
150,-414.558
151,-493.542
152,-438.026
153,-344.122
154,-275.655
155,-401.039
156,-455.164
157,-766.742
158,-721.081
159,-435.989
160,-237.719
161,-241.181
162,-382.64
163,-444.138
164,-411.551
165,-461.66
166,-358.033
167,-267.485
168,-307.986
169,-272.2
170,-263.965
171,-188.309
172,-530.396
173,-606.277
174,-610.389
175,-206.665
176,-41.6403
177,-201.045
178,-384.578
179,-307.532
180,-282.4
181,-236.806
182,-249.066
183,-266.837
184,-154.931
185,-125.809
186,-108.737
187,-250.676
188,-572.878
189,-584.374
190,-292.852
191,-24.8351
192,-84.3477
193,-299.098
194,-277.142
195,-114.352
196,-276.25
197,-217.429
198,-152.149
199,-121.313
200,-168.899
201,-145.29
202,-31.1763
203,-317.147
204,-457.974
205,-473.413
206,-118.164
207,25.7277
208,-71.2882
209,-283.218
210,-174.067
211,-96.7837
212,-148.161
213,-272.956
214,-137.439
215,-7.19519
216,-24.2616
217,-85.3967
218,-66.6516
219,-398.312
220,-434.671
221,-198.434
222,-18.1947
223,20.2181
224,-131.114
225,-86.9609
226,-150.218
227,-101.113
228,-167.461
229,-16.0488
230,8.71643
231,-36.0386
232,-40.5273
233,-3.23999
234,-73.9451
235,-423.611
236,-270.445
237,-74.0272
238,37.0196
239,32.9676
240,-69.7373
241,-133.411
242,-121.949
243,-30.2654
244,-147.954
245,-48.7773
246,101.756
247,67.0188
248,-21.5107
249,-6.95862
250,-166.82
251,-353.374
252,-197.686
253,48.454
254,125.876
255,57.7723
256,-61.5637
257,-94.0376
258,-97.4209
259,-89.1323
260,-23.993
261,59.0131
262,95.2374
263,-60.7061
264,6.54297
265,206.274
266,-238.828
267,-472.083
268,-157.842
269,204.756
270,181.406
271,20.9186
272,-71.5139
273,-56.7451
274,-102.679
275,-7.64844
276,3.09515
277,123.476
278,59.1868
279,190.248
280,46.1092
281,-22.4399
282,-351.306
283,-292.265
284,91.3342
285,147.425
286,152.556
287,32.8138
288,-37.0162
289,-43.197
290,20.5642
291,82.7942
292,76.148
293,42.5432
294,87.1623
295,123.652
296,165.701
297,-180.681
298,-361.369
299,-239.573
300,186.276
301,270.558
302,57.9384
303,-16.1378
304,37.442
305,49.085
306,-39.1521
307,48.5646
308,123.777
309,183.088
310,184.888
311,81.8532
312,41.8322
313,-237.318
314,-296.482
315,-16.9888
316,268.816
317,240.915
318,61.4446
319,-127.973
320,116.167
321,83.7048
322,56.0302
323,93.423
324,78.936
325,148.292
326,160.43
327,206.502
328,-120.011
329,-180.542
330,-199.945
331,140.196
332,246.861
333,216.364
334,-2.56122
335,32.048
336,142.927
337,4.67261
338,18.361
339,167.934
340,213.699
341,184.152
342,156.801
343,149.655
344,-167.197
345,-302.884
346,13.3396
347,250.206
348,250.026
349,77.7848
350,46.993
351,134.049
352,112.605
353,18.3094
354,162.203
355,257.915
356,117.932
357,144.944
358,256.491
359,180.678
360,-349.922
361,-220.448
362,213.102
363,257.016
364,198.906
365,92.9947
366,106.23
367,60.5515
368,70.9929
369,16.1109
370,231.894
371,320.901
372,246.483
373,129.27
374,146.095
375,9.26001
376,-237.161
377,-21.0963
378,196.326
379,312.464
380,237.546
381,142.031
382,31.8651
383,81.938
384,182.423
385,132.446
386,122.914
387,211.392
388,256.85
389,230.98
390,260.721
391,-241.673
392,-262.891
393,87.7648
394,318.631
395,293.333
396,231.953
397,116.016
398,74.9839
399,14.7925
400,86.2508
401,223.234
402,348.954
403,279.358
404,196.889
405,175.765
406,200.575
407,-188.979
408,-285.628
409,233.393
410,393.578
411,327.523
412,60.6442
413,89.659
414,194.16
415,145.248
416,187.22
417,181.514
418,229.193
419,231.264
420,319.499
421,308.122
422,-114.954
423,-307.88
424,-55.2522
425,363.375
426,413.271
427,225.761
428,103.755
429,218.829
430,26.2708
431,106.786
432,226.838
433,260.475
434,235.641
435,311.45
436,259.152
437,236.546
438,-140.725
439,-152.072
440,103.8
441,380.592
442,413.737
443,153.346
444,76.275
445,230.429
446,272.189
447,172.956
448,182.898
449,165.891
450,308.489
451,344.537
452,365.209
453,-98.5853
454,-246.077
455,-73.6316
456,333.424
457,382.831
458,252.994
459,134.137
460,180.867
461,211.45
462,30.8255
463,177.37
464,332.615
465,342.625
466,262.941
467,219.717
468,302.369
469,-42.6436
470,-188.055
471,23.8039
472,369.525
473,424.827
474,177.281
475,30.045
476,280.043
477,284.874
478,136.783
479,133.807
480,285.576
481,363.401
482,278.532
483,330.211
484,141.006
485,-287.02
486,-105.366
487,274.887
488,299.733
489,346.411
490,224.987
491,252.057
492,82.3272
493,60.3976
494,200.813
495,382.003
496,393.329
497,210.511
498,256.165
499,334.324
500,88.3736
501,-238.008
502,68.2487
503,336.646
504,458.084
505,249.241
506,227.16
507,198.13
508,99.9248
509,173.198
510,254.448
511,294.393
512,292.603
513,336.328
514,323.485
515,364.26
516,-262.007
517,-183.815
518,218.141
519,408.711
520,380.591
521,293.816
522,231.555
523,63.7924
524,113.245
525,237.43
526,313.367
527,380.375
528,354.46
529,322.186
530,301.464
531,193.424
532,-201.99
533,-185.553
534,293.873
535,448.748
536,377.092
537,218.031
538,164.712
539,219.375
540,179.487
541,301.334
542,214.566
543,309.298
544,402.469
545,408.755
546,266.997
547,-208.611
548,-187.566
549,29.0571
550,347.99
551,432.873
552,380.484
