projection,true_label,pred
185.842,0,0
189.596,0,0
-156.363,1,1
171.672,0,0
-170.284,1,1
176.008,0,0
176.921,0,0
-146.127,1,1
-177.173,1,1
-226.706,1,1
169.833,0,0
-201.12,1,1
184.078,0,0
157.092,0,0
-193.031,1,1
172.822,0,0
177.37,0,0
156.246,0,0
-177.224,1,1
-135.655,1,1
155.751,0,0
-164.257,1,1
-188.935,1,1
-130.725,1,1
149.091,0,0
184.663,0,0
198.156,0,0
-147.941,1,1
-158.813,1,1
-195.327,1,1
174.626,0,0
163.242,0,0
-197.125,1,1
-205.648,1,1
-149.059,1,1
-157.443,1,1
-151.387,1,1
-167.851,1,1
-176.126,1,1
174.995,0,0
154.052,0,0
159.066,0,0
-176.567,1,1
-169.578,1,1
-148.53,1,1
162.049,0,0
171.233,0,0
171.911,0,0
-181.574,1,1
165.141,0,0
-183.448,1,1
179.521,0,0
168.276,0,0
-150.352,1,1
-177.497,1,1
-174.478,1,1
-180.199,1,1
159.066,0,0
-184.019,1,1
156.353,0,0
195.025,0,0
-161.003,1,1
-151.177,1,1
182.121,0,0
169.578,0,0
-144.434,1,1
162.343,0,0
-183.527,1,1
-184.879,1,1
-167.202,1,1
173.094,0,0
-141.995,1,1
-188.172,1,1
181.193,0,0
-172.471,1,1
158.064,0,0
172.849,0,0
-196.823,1,1
-196.1,1,1
169.263,0,0
175.648,0,0
-176.098,1,1
173.403,0,0
161.262,0,0
-170.316,1,1
188.99,0,0
189.829,0,0
159.385,0,0
181.825,0,0
-181.47,1,1
-190.206,1,1
185.118,0,0
190.575,0,0
171.219,0,0
179.025,0,0
-179.333,1,1
-183.162,1,1
156.337,0,0
-156.088,1,1
-190.381,1,1
-182.612,1,1
165.96,0,0
-181.989,1,1
-187.61,1,1
151.556,0,0
182.687,0,0
170.297,0,0
-172.62,1,1
-162.964,1,1
166.21,0,0
161.138,0,0
168.945,0,0
156.499,0,0
-152.875,1,1
167.828,0,0
168.066,0,0
-172.682,1,1
181.698,0,0
-156.749,1,1
161.556,0,0
-164.733,1,1
157.315,0,0
-166.736,1,1
