sample,welch_t
0,0.498527
1,0.682934
2,0.630204
3,-0.169985
4,0.0283512
5,1.14475
6,0.0944211
7,0.500587
8,-1.62214
9,1.15323
10,-0.721977
11,0.909015
12,0.0322828
13,1.10179
14,-0.819151
15,0.272827
16,0.317019
17,0.0290018
18,-0.638585
19,-0.654033
20,0.77568
21,1.91747
22,0.154389
23,-3.15414
24,-0.0123148
25,1.38293
26,0.731064
27,-0.638178
28,-0.477374
29,1.76076
30,-0.469176
31,-3.48284
32,-20.3441
33,-15.579
34,-3.39843
35,2.67088
36,-1.50683
37,-7.72439
38,-9.35157
39,-6.67221
40,-11.2839
41,-8.30444
42,-6.48543
43,-5.10919
44,-3.72971
45,-6.59903
46,-5.89151
47,-19.7553
48,-36.9902
49,-19.2644
50,-3.87728
51,0.100629
52,-8.01135
53,-21.3867
54,-17.8171
55,-13.9309
56,-18.2854
57,-16.0638
58,-13.485
59,-10.5777
60,-11.3822
61,-13.4658
62,-10.4054
63,-55.6138
64,-49.4071
65,-19.6971
66,-5.63433
67,-7.99254
68,-25.6057
69,-33.6655
70,-24.9586
71,-31.9006
72,-32.2605
73,-24.8446
74,-20.6769
75,-20.3854
76,-22.9137
77,-23.5349
78,-24.1177
79,-54.5427
80,-37.3104
81,-22.6605
82,-14.613
83,-17.8411
84,-33.7843
85,-33.4687
86,-26.6011
87,-32.0966
88,-31.1024
89,-25.4334
90,-22.8494
91,-22.2108
92,-24.757
93,-20.4212
94,-36.7682
95,-47.6032
96,-24.3767
97,-19.1127
98,-15.5123
99,-23.2058
100,-32.4886
101,-28.3054
102,-25.9056
103,-30.0493
104,-26.4196
105,-22.9634
106,-20.1535
107,-23.7301
108,-24.2842
109,-14.9952
110,-37.2368
111,-29.9685
112,-21.7132
113,-18.3523
114,-15.5357
115,-23.1079
116,-26.5675
117,-19.9776
118,-21.843
119,-21.8407
120,-21.1754
121,-17.3432
122,-16.1238
123,-18.4898
124,-18.894
125,-14.1686
126,-22.3526
127,-16.5595
128,-16.0123
129,-14.2793
130,-12.5688
131,-14.644
132,-14.3683
133,-14.5291
134,-14.9566
135,-12.9812
136,-11.5459
137,-11.2511
138,-12.6946
139,-12.0176
140,-6.59064
141,-14.4619
142,-16.2477
143,-10.2459
144,-8.40319
145,-7.61876
146,-9.24624
147,-9.68801
148,-10.6117
149,-10.0455
150,-7.7491
151,-9.36251
152,-8.23936
153,-6.57059
154,-5.40348
155,-7.49039
156,-5.8452
157,-14.031
158,-11.2051
159,-7.73972
160,-4.50423
161,-4.39448
162,-7.2052
163,-8.27731
164,-6.17451
165,-8.65396
166,-6.68902
167,-4.97226
168,-5.86961
169,-5.19085
170,-5.02968
171,-3.44774
172,-8.51395
173,-11.2691
174,-9.73799
175,-3.851
176,-0.777963
177,-3.76711
178,-7.32497
179,-5.54886
180,-4.36724
181,-4.49232
182,-4.76397
183,-5.18701
184,-2.92851
185,-2.44686
186,-2.07272
187,-3.62391
188,-10.3132
189,-9.63169
190,-4.85993
191,-0.467183
192,-1.56582
193,-5.5916
194,-5.19618
195,-1.78197
196,-5.04005
197,-4.02704
198,-2.8267
199,-2.29724
200,-3.18853
201,-2.81008
202,-0.572141
203,-4.23096
204,-8.48061
205,-7.41928
206,-2.13521
207,0.490549
208,-1.30422
209,-5.43626
210,-3.08558
211,-1.50442
212,-2.82026
213,-5.17357
214,-2.64273
215,-0.139933
216,-0.472934
217,-1.59776
218,-1.12288
219,-6.3931
220,-7.67159
221,-3.09235
222,-0.340624
223,0.376896
224,-2.46474
225,-1.65589
226,-2.54932
227,-1.71487
228,-3.0811
229,-0.300913
230,0.168161
231,-0.679425
232,-0.775613
233,-0.0610292
234,-1.00258
235,-7.78963
236,-4.51811
237,-1.30962
238,0.699536
239,0.621733
240,-1.34657
241,-2.48199
242,-1.869
243,-0.542144
244,-2.72708
245,-0.894005
246,1.92851
247,1.27292
248,-0.410294
249,-0.132509
250,-2.41115
251,-6.61643
252,-3.15148
253,0.910638
254,2.40911
255,1.05211
256,-1.16209
257,-1.68146
258,-1.54006
259,-1.62516
260,-0.451634
261,1.10955
262,1.85667
263,-1.19047
264,0.125185
265,2.96364
266,-4.11355
267,-8.34924
268,-2.69859
269,3.89779
270,3.39001
271,0.390164
272,-1.347
273,-0.943059
274,-1.73827
275,-0.139587
276,0.0580416
277,2.34747
278,1.12886
279,3.65987
280,0.873767
281,-0.296363
282,-6.51466
283,-4.67974
284,1.62371
285,2.79395
286,2.85607
287,0.619857
288,-0.675631
289,-0.656933
290,0.378215
291,1.53785
292,1.42747
293,0.818344
294,1.65584
295,2.32112
296,3.04686
297,-2.92748
298,-6.68933
299,-3.95804
300,3.54758
301,5.15323
302,1.09569
303,-0.310517
304,0.678512
305,0.765134
306,-0.73004
307,0.919975
308,2.26901
309,3.53189
310,3.53741
311,1.54914
312,0.612075
313,-4.27856
314,-5.09829
315,-0.294916
316,5.31546
317,4.54971
318,1.18141
319,-2.4106
320,1.77158
321,1.46082
322,1.01818
323,1.73425
324,1.46866
325,2.85738
326,3.03921
327,3.7698
328,-1.73148
329,-3.43692
330,-3.39731
331,2.61305
332,4.68903
333,4.03396
334,-0.0487627
335,0.568882
336,2.16057
337,0.0878616
338,0.342946
339,3.23458
340,4.20918
341,3.6093
342,2.93597
343,2.51238
344,-2.77028
345,-5.57805
346,0.220649
347,4.63303
348,4.80438
349,1.44069
350,0.898442
351,2.23437
352,1.86364
353,0.336911
354,2.99875
355,4.84096
356,2.2682
357,2.73704
358,4.87317
359,2.58368
360,-6.43223
361,-3.78251
362,3.91753
363,4.99943
364,3.76462
365,1.77896
366,1.96079
367,0.920441
368,1.29825
369,0.29944
370,4.37748
371,6.38338
372,4.72104
373,2.48853
374,2.7143
375,0.140813
376,-4.39705
377,-0.356853
378,3.72033
379,5.97913
380,4.44584
381,2.69749
382,0.588092
383,1.2649
384,3.43102
385,2.53917
386,2.39564
387,4.22707
388,5.02353
389,4.48352
390,3.83226
391,-4.12267
392,-4.77456
393,1.56163
394,6.02066
395,5.49552
396,4.36323
397,2.17785
398,1.24873
399,0.248839
400,1.62239
401,4.21758
402,6.63824
403,5.33068
404,3.76546
405,3.32725
406,2.83673
407,-3.55457
408,-4.84481
409,4.26215
410,7.5731
411,6.14119
412,1.17456
413,1.64859
414,2.94902
415,2.74109
416,3.50393
417,3.39644
418,4.39309
419,4.3522
420,6.17911
421,5.62914
422,-1.85942
423,-5.81706
424,-0.928405
425,6.99439
426,7.89669
427,4.29075
428,1.96438
429,3.861
430,0.403033
431,1.98332
432,4.33241
433,4.79817
434,4.5427
435,5.78993
436,4.95873
437,3.47367
438,-2.50573
439,-2.64814
440,1.81848
441,7.45599
442,7.70077
443,2.97916
444,1.4019
445,3.52635
446,4.7813
447,3.25289
448,3.43108
449,3.1991
450,5.91928
451,6.62654
452,6.79508
453,-1.43351
454,-4.74904
455,-1.27192
456,6.35921
457,7.433
458,4.82538
459,2.5767
460,3.18789
461,3.21495
462,0.602913
463,3.41668
464,6.52548
465,6.59246
466,5.02937
467,4.30322
468,5.05621
469,-0.683186
470,-3.42192
471,0.413376
472,6.9679
473,7.90737
474,3.4272
475,0.577818
476,4.77592
477,4.83394
478,2.58583
479,2.5826
480,5.42552
481,6.93537
482,5.44164
483,6.2164
484,2.03887
485,-5.28547
486,-1.86671
487,5.16579
488,5.72706
489,6.54395
490,4.49441
491,4.7835
492,1.26575
493,1.08971
494,3.86879
495,7.28118
496,7.47408
497,3.94514
498,4.88868
499,6.08173
500,1.36493
501,-4.37522
502,1.22305
503,6.25839
504,8.95582
505,4.59855
506,4.26489
507,3.51579
508,1.51964
509,3.295
510,4.82833
511,5.71871
512,5.65283
513,6.68347
514,6.1967
515,5.64074
516,-4.3847
517,-3.41242
518,4.03054
519,7.74514
520,7.20384
521,5.53633
522,4.36699
523,1.0674
524,1.90364
525,4.52412
526,5.87986
527,7.33475
528,6.93408
529,6.33232
530,5.59841
531,2.83011
532,-3.80381
533,-3.30224
534,5.58547
535,8.46071
536,7.23372
537,4.26422
538,3.07519
539,3.37266
540,3.32767
541,5.7065
542,4.11757
543,5.93762
544,7.5434
545,7.88334
546,4.76144
547,-3.33497
548,-3.42169
549,0.514465
550,6.46726
551,8.26053
552,7.14703
553,3.07592
554,3.32305
555,1.66908
556,4.05452
557,4.99506
558,5.76975
559,5.33423
560,5.20156
561,6.95511
562,3.00652
563,-47.256
564,-53.4012
565,-15.3782
566,13.4403
567,10.3935
568,-13.0936
569,-24.0168
570,-16.4817
